video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7335090936210328878,2024-02-13T09:20:11,14.0,US,"carnival brazil, carnival outfits, caribbean carnival, rio carnival, carnival 2024, Carnival Costumes, festival outfits, Festival Fashion Outfits, costume, brazilian carnival dancing",550100.0,1921.0,989.0,2000000.0,,False,,mynamemaddox,maddox mckeever,,,,,,False
7335453895377915141,2024-02-14T08:47:35,64.0,GH,,2345.0,7.0,7.0,14200.0,Madrid secure narrow victory over RB Leipzig + Manchester City take control of UCL tie with a win in Copenhagen. #ucl #review #football #prrrr #trending #trending #ghanatiktok🇬🇭 #kwadwosheldonstudios ,False,,kwadwosheldonstudios,kwadwosheldonstudios,,,,,,False
7337634060849728774,2024-02-20T05:47:45,11.0,NG,,217000.0,2177.0,4961.0,1500000.0,😂😂#viral #fyp #metroquin #trending ,False,,officiallyqunin,Metro quin,,,,,,False
7333583697989438726,2024-02-09T07:50:16,0.0,UG,,297.0,0.0,0.0,6471.0,Part 20 #songoftheday #davido #popcaan #afrobeats #fyp #tiktoknigeria #tiktokuganda ,False,,afrobeatsplug0,afrobeatsplug0,,,,,,False
7334870640660516142,2024-02-12T19:04:45,33.0,US,"shabba madapot dance tutorial, jamaica, shabba madapot dance",141200.0,1181.0,1133.0,940700.0,lil sis got it for sure!!!! ,False,,aalizl,Aaliyah ⚡️,,,,,,False
7327694749551316230,2024-01-24T10:58:07,15.0,NG,,31400.0,309.0,433.0,277600.0,😂😂😂😂😂 #grant_chris #viral #cruise ,False,,grant_chris_,Grant_chris_,,,,,,False
7334880986158664993,2024-02-12T19:45:29,10.0,IE,,1858.0,11.0,8.0,12400.0,Fur baby #fyp #faahiontiktok ,False,,skfloxy2.0,sk,,,,,,False
7325417653777042719,2024-01-18T07:43:25,63.0,US,"gregneverchills, Podcast, Podcast Clips, soshamelesspod, shameless, Rich Black Guy, Podcast Comedy, Online Podcast, Podcast To Listen, Interrupted While Talking Podcast",57800.0,2006.0,3275.0,334400.0,"🚨On this episode of So Shameless @gregneverchills made the point that a lot of cis-het black men who are well off financially usually have a lot of excuses as to why they cannot find a black woman to settle down with. RESPECTFULLY, what do you think ? 🚨 Timestamp: Black Man Syndrome Part 4 25:15 . .                                                                                                             #Blackpodcastsofinstagram #newyorkpodcast #patreoncreator  #soshamelesspod  #blackpodcasts #podcasts #reels #podcastlife #podcastliveshow #podcastersofinstagram ",False,,soshamelesspod,soshamelesspod,,,,,,False
7336216217956519174,2024-02-16T10:05:48,18.0,CA,,4142.0,215.0,62.0,29900.0,Just for fun 😂 #eskista #amharaculture #ethiopian_tik_tok #eatherup #fyp,False,,x.amharawit.x,💚💛❤️,,,,,,False
7333729319719652640,2024-02-09T17:15:27,12.0,GB,,447.0,4.0,1.0,24400.0,Ok then miss perfect #fyp #foryou ,False,,ivoriandoll,IVD,,,,,,True
7339520347433159979,2024-02-25T07:49:17,14.0,US,dancing on my own,4445.0,35.0,29.0,89800.0,i practiced for 5 days and 5 nights. #tamialinedancechallenge ,False,,tiaac._,Tiaa,,,,,,False
7330008467824069921,2024-01-30T16:36:38,11.0,GB,"fartlek training, fartlek, fartlek program, fartlek treadmill, Tired",50200.0,193.0,193.0,525100.0,I am wet. I am tired. I am ded,False,,ehisilozobhie,ehis,,,,,,False
7332172291872132358,2024-02-05T12:33:17,89.0,NG,"rhythm and blues ayra starr, ayrastarr, commas ayra starr, Ayra Starr Songs, Rhythm And Blues, rush ayra starr, commas, Rush Song By Ayra Starr, Afrobeats Songs, afrobeats",39200.0,151.0,2345.0,322000.0,Whats your favorite AYRA STARR SONG? Comment below  @AyraStarr⭐️  #ayrastarr #ayrastarrcommas #afrobeats #dj #afrobeatsdj #fyp #tiktoknaija #djkeywe #djkeywemix ,False,,djkeywe,Dj KeyWe,,,,,,False
7337799259011435781,2024-02-20T16:28:48,82.0,GH,"food videos, 24gh, Food Videos On Tiktok, food tiktok, the food is delicious, african food, Delicious Food, nigerian food, FoodTok, Foods Of TikTok",123900.0,4230.0,4730.0,1700000.0,The food is delicious 😂😂24GH😂#fypシ゚viral #nigeriantiktok🇳🇬 #ghanatiktokers🇬🇭🇬🇭🇬🇭 #trendingtiktok🇺🇸 #24GHComedy2 #24GHComedy2 #nigeriantiktok🇳🇬 ,False,,24ghcomedy2,24GH Comedy 🌟 🕊,,,,,,False
7337337246325984558,2024-02-19T10:36:30,15.0,US,"Scar Lip, Scar Lip Rapper, This Is Cali Song By Scar Lip, This Is New York Song By Scar Lip, Bambi And Scar Lip, Kp Philly Scar Lip, icespice scarlip, how did scarlip get her scar",5351.0,19.0,49.0,212900.0,These men better move faster #fyp #fup ,False,,scar_lip,Scar_lip,,,,,,True
7340019407386660139,2024-02-26T16:04:20,138.0,US,"calling my gf daddy', calling my gf mamas, calling my gf daddyprank wlw, calling my gf daddy' wlw, calling my gf mommyprank, Couple Pranks, Prank Videos, call her daddy', Funny Prank Videos, Funny Prank",412000.0,2075.0,1049.0,2300000.0,I folded😩😩 @sugarbear #prank #couple #foryou #relatable #reaction ,False,,keke.magic,Keke Magic🪄,,,,,,False
