,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,"Donald Trump swept yet another early nominating contest, delivering Nikki Haley a crushing home-state loss at the hands of voters who were arguably the most familiar with her politics.",Read five takeaways from Donald Trump’s big win over Nikki Haley in South Carolina.,2024-02-25T00:00:26+0000,article,U.S.,News,Haley’s Loss to Trump in South Carolina Fuels More Doubts About Her Viability,"Trump, Donald J;Haley, Nikki R;South Carolina;Primaries and Caucuses;Republican Party;Presidential Election of 2024;United States Politics and Government"
1,Some campaign professionals wonder if playing it safe was ever going to shake up the race.,"Nikki Haley has proudly called herself the underdog in the Republican presidential nomination fight, telling South Carolina audiences over and over how she defeated, or at least outlasted, 12 other candidates, all of them men, and then adding, “I just have one more fella to catch.”",2024-02-25T01:04:21+0000,article,U.S.,News,Haley’s Traditional Campaign Was No Match Against Trump in South Carolina,"Presidential Election of 2024;Haley, Nikki R;South Carolina;Republican Party;Trump, Donald J"
2,"As more details emerged about the suspect in the death of a nursing student, the community remained in shock of the first homicide on the campus in decades.","A 26-year-old man charged with kidnapping and murdering a nursing student at the University of Georgia in Athens will remain in jail after he was denied bond at a hearing on Saturday, the authorities said.",2024-02-25T01:08:20+0000,article,U.S.,News,Suspect in Killing at U. of Georgia Is Denied Bond as a Shaken Campus Mourns,"University of Georgia;Athens (Ga);Murders, Attempted Murders and Homicides"
3,Ms. Haley campaigned more aggressively. She spent more on television advertisements. She raked in more money. She lost decisively.,Donald J. Trump lapped Nikki Haley in the Midwest. He beat her in the Northeast. He dominated in the West. And now he has trounced the former two-term governor in her home state of South Carolina.,2024-02-25T02:20:34+0000,article,U.S.,News,5 Takeaways From Trump’s Big Win Over Nikki Haley in South Carolina,"Presidential Election of 2024;United States Politics and Government;Polls and Public Opinion;Primaries and Caucuses;Republican Party;Republican National Committee;Haley, Nikki R;Trump, Donald J"
4,"Crystal Clanton, who is close with the Thomas family, has said she does not remember sending the messages, which emerged in 2017.","Justice Clarence Thomas recently hired a law clerk who was previously accused of sending racist text messages, resurfacing the controversy around her.",2024-02-25T03:05:52+0000,article,U.S.,News,Justice Thomas Hires Law Clerk Accused of Sending Racist Text Messages,"Supreme Court (US);Thomas, Clarence;Thomas, Virginia Lamp;Black People;Blacks;Discrimination;Legal Profession;Antonin Scalia Law School;Turning Point USA;United States Politics and Government"
5,"Striking a more serious tone, Ms. Haley said she would continue her campaign despite a heavy defeat to Donald Trump in South Carolina, her home state.","Despite another stinging defeat, this time on her home turf in South Carolina, Nikki Haley said on Saturday that she would forge ahead in the Republican primary race regardless of the daunting road ahead.",2024-02-25T03:18:16+0000,article,U.S.,News,Nikki Haley Forges Ahead Despite Another Loss: ‘I Am a Woman of My Word’,"Haley, Nikki R;Trump, Donald J;South Carolina;Primaries and Caucuses;Republican Party;Presidential Election of 2024;United States Politics and Government;Polls and Public Opinion"
6,"Nikki Haley’s fortitude after losing her home state on Saturday looked more like stubborn grit and determination than upbeat confidence. Donald J. Trump didn’t even mention her, let alone insult her.","As Nikki Haley stepped to the podium Saturday night, the bravado she had embodied after losing in New Hampshire a month earlier was gone. Her expression was somber and, for a moment, she appeared to be edging toward withdrawing from the race for the Republican nomination.",2024-02-25T03:39:02+0000,article,U.S.,News,"In South Carolina, Haley and Trump Changed Their Tune","Haley, Nikki R;Trump, Donald J;Primaries and Caucuses;Presidential Election of 2024;Republican Party;South Carolina;New Hampshire;United States Politics and Government"
7,It’s not the final vote count in South Carolina that explains why the race might end so quickly. It’s the delegate count.,"If there had been any doubt about whether the Republican presidential primary was heading toward an early conclusion, it was put to rest Saturday night by the voters of South Carolina.",2024-02-25T04:43:28+0000,article,The Upshot,News,Delegate Math and the Futility of Haley’s Challenge to Trump,"Primaries and Caucuses;South Carolina;Presidential Election of 2024;Haley, Nikki R;Trump, Donald J;Polls and Public Opinion;United States Politics and Government"
8,"Corrections that appeared in print on Sunday, Feb. 25, 2024.","A caption with an article this weekend on Page 23 about live performances coming to New York in the spring misidentifies the role played by the actor Will Keen in “The Patriots.” He portrays Vladimir V. Putin, not Boris Berezovsky. The article, using outdated information, erroneously includes an actor in the cast of “Corruption.” Adam Dannheisser is not in the play.",2024-02-25T05:31:49+0000,article,Corrections,News,"Corrections: Feb. 25, 2024",
9,"Quotation of the Day for Sunday, Feb. 25, 2024.","“Life, of course, has changed. Almost every day is filled with tears.”",2024-02-25T05:52:18+0000,article,Corrections,News,Quotation of the Day: Kin in Ukraine Wait Tearfully for P.O.W. Son,
10,"The comic was fired from the show in 2019 before ever appearing on it, history he barely mentioned when he hosted on Saturday. “Please, don’t Google that,” he said in his monologue.","Finally given the opportunity to take the stage at NBC’s Studio 8H, the comedian Shane Gillis did not say much about how he’d been fired as a cast member from “Saturday Night Live” before appearing in a single episode.",2024-02-25T07:43:13+0000,article,Arts,News,Shane Gillis Finally Appears on ‘Saturday Night Live’,"Television;Saturday Night Live (TV Program);Gillis, Shane;Comedy and Humor"
