,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,Maine found Donald Trump ineligible to hold office because of his actions after the 2020 election. California said his name would remain on the ballot there.,Maine on Thursday became the second state to bar Donald J. Trump from its primary election ballot after its top election official ruled that the former president’s efforts to remain in power after the 2020 election rendered him ineligible to hold office again.,2023-12-29T00:01:11+0000,article,U.S.,News,Maine Joins Colorado in Finding Trump Ineligible for Primary Ballot,"Presidential Election of 2024;Fourteenth Amendment (US Constitution);Maine;Bellows, Shenna;Colorado;Primaries and Caucuses;United States Politics and Government;Constitution (US);Suits and Litigation (Civil);Trump, Donald J;Supreme Court (US);Presidential Election of 2020;Storming of the US Capitol (Jan, 2021)"
1,The Rev. William J. Barber II was trying to watch “The Color Purple” with his mother when theater staff told him he could not use a chair he needs to help manage a painful condition.,"AMC Theaters has apologized to the Rev. William J. Barber II, a civil rights leader, after he was escorted from a Greenville, N.C., theater after employees refused to allow him to use a chair he needs to manage a painful medical condition, he said.",2023-12-29T00:53:11+0000,article,U.S.,News,AMC Theaters Apologizes to Civil Rights Leader Removed From Movie Theater,"Civil Rights and Liberties;AMC Entertainment Holding Inc;Disabilities;Black People;Blacks;Police;North Carolina;The Color Purple (Movie);Winfrey, Oprah"
2,"Along the coast, residents on Thursday saw waves that topped 30 feet and flooded beachfront neighborhoods in some areas.","Giant waves pounded the coast of California on Thursday, causing big headaches, closing beaches and toppling some people who watched the unusual waterfront show.",2023-12-29T00:55:42+0000,article,U.S.,News,Giant Waves Close Out California’s Remarkable Year of Weather Phenomena,California;Coastal Areas;Weather;Tidal Waves and Tsunamis;Half Moon Bay (Calif);Santa Cruz (Calif);Stinson Beach (Calif);Ventura (Calif)
3,The Israeli military said it was “working to draw lessons” from an attack in central Gaza that was reported to have killed dozens of people.,"The Israeli military said on Thursday that it had caused “unintended harm” to “uninvolved civilians” in two strikes this week on a densely packed Gaza Strip neighborhood, where, the local health authorities said, dozens were killed.",2023-12-29T01:00:13+0000,article,World,News,Israel Expresses Regret for ‘Unintended Harm’ to Civilians in Gaza Airstrike,"Israel-Gaza War (2023- );Israel;Defense and Military Forces;Gaza Strip;Palestinians;Civilian Casualties;Deaths (Fatalities);Supreme Court of Israel;Netanyahu, Benjamin;Politics and Government;Law and Legislation;Hamas;Terrorism"
4,"Kimberlee Singler, 35, was found injured at an apartment last week with the bodies of two of her children, 9 and 7, the police said. Her 11-year-old daughter was also found injured, they said.","The police are searching for a 35-year-old woman charged with murdering two of her children, ages 9 and 7, and injuring a third, age 11, at an apartment in Colorado Springs, Colo., last week, the authorities said Thursday.",2023-12-29T01:29:32+0000,article,U.S.,News,Colorado Springs Police Search for Mother in Death of Two Children,"Murders, Attempted Murders and Homicides;Fugitives;Singler, Kimberlee;Colorado;Colorado Springs (Colo)"
5,"Steven Hutcherson, who was charged in the stabbings of two teenage sisters on Christmas Day, slashed a detainee on Rikers Island three days later, the authorities said.","A Bronx man facing attempted murder charges after he stabbed two girls at Grand Central Terminal on Christmas Day slashed a fellow Rikers Island detainee in the head and face on Thursday, seriously injuring him, according to Correction Department officials.",2023-12-29T02:35:36+0000,article,New York,News,"Man Charged in Grand Central Stabbings Slashed Inmate, Officials Say","Murders, Attempted Murders and Homicides;Assaults;Stations and Terminals (Passenger);Prisons and Prisoners;Grand Central Terminal (Manhattan, NY);Rikers Island Prison Complex"
6,Happy Robyn Weintraub Friday! Please celebrate responsibly.,Jump to: Tricky Clues,2023-12-29T03:00:08+0000,article,Crosswords & Games,News,Raspberry Relative,Crossword Puzzles;Games
7,"David Balton and Jane Stewart’s puzzle almost makes you give up before you even start, but you can do it.","ACROSTIC — Today’s passage, by that paragon of American satire, Mark Twain, originally appeared in The Territorial Enterprise, a newspaper in Virginia City, Nev., on Jan. 1, 1863. There’s a reason modern funny people receive a prize with his name; Twain’s gift for skewering any subject without losing his charm was magic and still “kills” after 160 years. The excerpt is about humanity’s unfailing annual efforts to overcome vice and embrace virtue, and how quickly they, well, fail. (Twain gives them a life span of about a month.)",2023-12-29T03:02:01+0000,article,Crosswords & Games,News,Variety: Acrostic,"Balton, David (Crossword Constructor);Stewart, Jane (Crossword Constructor);Twain, Mark"
8,"Ron DeSantis and Vivek Ramaswamy were quick to take swipes at the secretary of state’s ballot decision, while the state’s congressional delegation appeared split on the matter.","Former President Donald J. Trump’s rivals in the Republican race for president again lined up in his defense on Thursday after Maine barred him from its primary election ballot, the second state to do so.",2023-12-29T03:30:24+0000,article,U.S.,News,Trump Rivals Criticize Maine Decision in His Defense,"Trump, Donald J;Christie, Christopher J;Collins, Susan M;DeSantis, Ron;Golden, Jared;Pingree, Chellie;Maine;Republican Party;Presidential Election of 2024;United States Politics and Government;Primaries and Caucuses;Storming of the US Capitol (Jan, 2021)"
9,There are lawsuits pending in more than a dozen states seeking to have Donald J. Trump disqualified from appearing on primary ballots.,"The campaign to have former President Donald J. Trump removed from the ballot over his efforts to remain in power after the 2020 election has kicked into high gear, with decisions in two states, Maine and Colorado, barring him from the primary ballots.",2023-12-29T04:35:37+0000,article,U.S.,News,What to Know About the Efforts to Remove Trump From the 2024 Ballot,"Trump, Donald J;Presidential Election of 2024;Storming of the US Capitol (Jan, 2021);Presidential Election of 2020;Fourteenth Amendment (US Constitution);States (US);Primaries and Caucuses;Republican Party;Suits and Litigation (Civil);Supreme Courts (State);Supreme Court (US);United States Politics and Government;Colorado;Maine"
