,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,"If we came to think of Trump derangement syndrome as a mental health problem, who do you think would be the first person diagnosed?",Sometimes I miss the good old days when Donald Trump could be shocking.,2023-11-16T00:00:08+0000,article,Opinion,Op-Ed,Trump’s Love-Hate Relationship With the World Is Mostly Hate,"Trump, Donald J;Presidential Election of 2024;Speeches and Statements"
1,"It is here, in the dispute over definitions, that things begin to break down.","Last week, I gave a lecture at the University of California at San Diego about politics and social justice. Afterward, as I was signing books, a young Black woman approached my table and whispered a question, asking me what I thought about the horrors playing out in Gaza.",2023-11-16T00:00:08+0000,article,Opinion,Op-Ed,The Question of Anti-Zionism and Antisemitism,"Zionism;Israel-Gaza War (2023- );Anti-Semitism;Palestinians;Jews and Judaism;ANTI-DEFAMATION LEAGUE;Greenblatt, Jonathan (1970- );Hamas;Israel"
2,"Plant-based foods are linked to a lower risk of heart disease and diabetes, a new study shows.",The case has never been clearer: Eat less bacon and more beans.,2023-11-16T01:00:09+0000,article,Well,News,"For Health, More Nuts, Beans and Whole Grains",Research;Diabetes;Veganism;Food;Diet and Nutrition;Heart;Proteins
3,The mother pleaded guilty to breaking federal law by using marijuana while owning a firearm and making false statements about drug use buying the gun.,The mother of a 6-year-old who shot his first-grade teacher in a Virginia classroom was sentenced on Wednesday to one year and nine months in prison after pleading guilty in June to using marijuana while owning a firearm and making false statements about drug use.,2023-11-16T01:31:08+0000,article,U.S.,News,Mother of 6-Year-Old Who Shot Teacher in Virginia Is Sentenced to 21 Months,"Education (K-12);Marijuana;Teachers and School Employees;Richneck Elementary School (Newport News, Va);Taylor, Deja (January 6, 2023 Shooting);Zwerner, Abigail;Newport News (Va);Virginia"
4,"When Ryder was stricken on a hot day in 2022, it quickly became a flashpoint in a long-running debate over whether horses should be doing such work.",A New York City carriage driver was charged with animal cruelty on Wednesday in a case arising from a feeble horse’s collapse on a busy Hell’s Kitchen street in August 2022.,2023-11-16T01:40:45+0000,article,New York,News,New York Carriage Driver Charged With Animal Cruelty in Horse’s Collapse,"Animal Abuse, Rights and Welfare;Horses;Carriages;Manhattan (NYC);NYClass"
5,"The meeting opened with a call for unity, but clerics are navigating a contentious relationship between Pope Francis and conservative American Catholics.","Inside a windowless hotel ballroom on the Baltimore waterfront on Wednesday, more than 250 American bishops were trying to pilot through the choppy waters of the increasingly contentious relationship between Pope Francis and conservative American Catholics, many of them in their own ranks.",2023-11-16T01:54:34+0000,article,U.S.,News,"As Catholic Leaders Met, Fired Bishop Took His Message to the Street",Roman Catholic Church;United States Conference of Catholic Bishops;Francis;Popes;Abortion;Baltimore (Md)
6,"Jonathan Lewis Jr., 17, died several days after he was beaten by at least 10 students in an after school fight in Las Vegas.","Eight Nevada high school students were arrested on murder charges this week in the death of a 17-year-old boy who was beaten unconscious during an after-school brawl this month, the Las Vegas Metropolitan Police Department said.",2023-11-16T01:55:53+0000,article,U.S.,News,8 Teens Charged With Murder in Beating Death of 17-Year-Old Schoolmate,"Murders, Attempted Murders and Homicides;Assaults;Las Vegas (Nev);Lewis, Jonathan Jr (d 2023);Rancho High School (Las Vegas, Nev)"
7,The transcendent Dianne Wiest stars in an absurd yet poignant new play about a 75-year-old woman who sets out to be a star.,"“Acting Like a Maniac” is not your typical acting class: You have to sign a personal injury waiver to join it. But then Meryl Kowalski, with that double whammy of a theatrical name, isn’t your typical student. Though 75, she’s no cute oldster; Hugo Lockerby, the guru-like teacher with a wandering accent, thinks she may even be a genius. Performing the autobiographical “blueprint” she’s been writing as an exercise, her fellow students are amazed and baffled by the tale (did she really get an agent at gunpoint?) but also the style. “Do you want it realism or should it be more like whoa,” one asks.",2023-11-16T02:00:11+0000,article,Theater,Review,‘Scene Partners’ Review: Is She Brilliant? Demented? Both?,"Theater;Theater (Off Broadway);Scene Partners (Play);Vineyard Theater;Caswell, John J Jr;Chavkin, Rachel;Wiest, Dianne;Hamilton, Josh (1969- );Day, Johanna"
8,A raid of a hospital that Israel asserts is a base for Hamas is shaping up as a watershed moment in a conflict that has put the Mideast on edge.,"Since Israel’s ground troops invaded Gaza 19 days ago, the fate of its war has become largely entwined with the fate of the territory’s largest hospital.",2023-11-16T02:36:44+0000,article,World,News,Israel Seizes Gaza Hospital That Became Symbol of the War Itself,Israel-Gaza War (2023- );Israel;Defense and Military Forces;Gaza Strip;Hospitals;Al Shifa Hospital (Gaza Strip);Palestinians;Civilian Casualties;Hamas;Kidnapping and Hostages;Terrorism
9,Making assumptions about Israel and Gaza is only fueling the hatred spilling out of the region.,"With the bilateral slaughter in the Middle East unleashing poisons that are worsening hatred worldwide, let me outline what I see as three myths inflaming the debate:",2023-11-16T02:52:07+0000,article,Opinion,Op-Ed,What We Get Wrong About Israel and Gaza,Israel-Gaza War (2023- );Terrorism;Civilian Casualties;Palestinians;Politics and Government;International Relations;United States International Relations;Peace Process;Defense and Military Forces;Deaths (Fatalities);Biological and Chemical Warfare;Human Rights and Human Rights Violations;Hamas;United Nations;Gaza Strip;Israel
10,"Also, what to know about Israel’s raid on Gaza’s largest hospital.",President Biden and President Xi Jinping of China shook hands at the entrance of a grand estate set in the hills of California yesterday as they began their first meeting in a year.,2023-11-16T02:58:23+0000,article,Briefing,briefing,Thursday Briefing: The Biden-Xi Meeting,"Far East, South and Southeast Asia and Pacific Areas;Biden, Joseph R Jr;Xi Jinping;China;Al Shifa Hospital (Gaza Strip);Hamas;Israel"
