,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,The Broadway revival saw an immediate change in its fortunes when the actress stepped into the production last September.,"“That was my dream come true,” Lea Michele gushed from the stage on Sunday after her final performance in “Funny Girl,” the Broadway revival that the actress breathed new life into when its future looked grim one year ago.",2023-09-04T00:42:46+0000,article,Theater,News,Lea Michele Ends ‘Dream’ Run in ‘Funny Girl’ After Reinvigorating Show,"Theater (Broadway);Actors and Actresses;Michele, Lea;Funny Girl (Play);Theater"
1,"There are many causes for concern at the mud-drenched gathering, but human nature isn’t one of them.",The news that thousands of Burning Man festivalgoers were told to conserve food and water after torrential rains left them trapped by impassable mud in the Nevada desert led some to chortle about a “Lord of the Flies” scenario for the annual gathering popular with tech lords and moguls.,2023-09-04T01:15:41+0000,article,Opinion,Op-Ed,One Thing Not to Fear at Burning Man,Altruism;Sociology;Disasters and Emergencies;Burning Man Festival
2,"The annual festival started as an impromptu bonfire, but now attracts tens of thousands of revelers a year. How did it get here?","“Imagine a hallucinogenic state fair,” the reporter Rick Marin wrote about Burning Man in The New York Times in 2000.",2023-09-04T03:40:39+0000,article,Style,News,"What Is Burning Man, and Why Have Paris Hilton and Elon Musk Shown Up?",Burning Man Festival;Black Rock Desert (Nev);Nevada;Global Warming
3,"Once considered a survivor of China’s real estate turmoil, Country Garden is now at the center of the crisis and threatens the broader economy.","When Country Garden, the biggest developer in China’s increasingly troubled real estate sector, published its annual report in April, the cover design exuded hope: a phoenix spreading its wings.",2023-09-04T04:01:17+0000,article,Business Day,News,China’s Biggest Homebuilder Reels as Economy Slows,Real Estate and Housing (Residential);Company Reports;Stocks and Bonds;Credit and Debt;Building (Construction);Country Garden;China;Economic Conditions and Trends
4,"Under the leadership of Bonaventure Soh Bejeng Ndikung, Berlin’s once dowdy House of World Cultures now throbs with D.J. sets and transformative ideas.","On a bright morning in early June, German lawmakers, Berlin city officials, ambassadors and other dignitaries clustered at the door of a hulking Modernist edifice, waiting for a Vodou priest to conclude a ritual under a tree.",2023-09-04T04:01:25+0000,article,Arts,News,A New Energy Is Vibrating at This House,"Art;Culture (Arts);Berlin (Germany);House of World Cultures;Content Type: Personal Profile;Ndikung, Bonaventure Soh Bejeng"
5,"Spain’s largest electricity company says daily power outages are caused by illegal indoor marijuana farms that overload the grid. “Easy excuse,” residents reply.","On a recent morning, Ángel Ortiz Rodríguez was slumped on a sofa in his apartment in Granada, in southern Spain, a tangle of breathing tubes protruding from his nose. Since Mr. Ortiz had a heart attack a few years ago, his life has depended on an electronic breathing machine.",2023-09-04T04:01:25+0000,article,World,News,Daily Blackouts Strain a Poor Spanish Neighborhood. Is Marijuana to Blame?,Granada (Spain);Power Failures and Blackouts;Endesa SA;Drug Abuse and Traffic;Marijuana;Poverty;Electric Light and Power
6,"A city’s density, the size of people’s homes and cultural norms are among the factors that affect hybrid work patterns.","In London, a politician wrote not-so-subtle notes to remote workers last year, hoping to persuade them to spend more time in the office: “Sorry you were out when I visited,” Jacob Rees-Mogg, then a government minister, recalled writing in messages left on the desks of Cabinet Office staff members who were working from home.",2023-09-04T04:01:43+0000,article,Business Day,News,Where in the World Are People Back in the Office?,"Telecommuting;Workplace Environment;Labor and Jobs;Quarantine (Life and Culture);Coronavirus (2019-nCoV);Coronavirus Return to Office;Europe;Far East, South and Southeast Asia and Pacific Areas;United States"
7,Changes in Ukraine’s military leadership.,"Volodymyr Zelensky, the Ukrainian president, said he was replacing his minister of defense, in the biggest shake-up in the leadership of Ukraine’s war effort since Russia’s invasion began. He cited the need for “new approaches” after more than 18 months of conflict.",2023-09-04T04:02:05+0000,article,Briefing,briefing,Monday Briefing,
8,"Quotation of the Day for Tuesday, September 5, 2023.","“If a Marine dies of enemy fire, you can direct that anger at the enemy. If it’s friendly ordnance, who do you direct that anger to?”",2023-09-04T04:36:55+0000,article,Corrections,News,Quotation of the Day: American Lives Forever Changed by a Weapon Being Sent to Ukraine,
9,"Swiatek, the top-ranked woman, lost to Jelena Ostapenko in three sets.","When Iga Swiatek, the No. 1 seed at the U.S. Open, took the first set against Jelena Ostapenko on Sunday night, it seemed like business as usual.",2023-09-04T04:38:52+0000,article,Sports,News,"Iga Swiatek, No. 1 Seed at U.S. Open, Loses in Fourth Round","Tennis;United States Open (Tennis);Ostapenko, Jelena;Swiatek, Iga (2001- )"
