,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,"Is this really about policy, or is it personal?","Donald Trump hasn’t talked much about policy in this election cycle, except for vague assertions that he’ll somehow bring back low unemployment and low inflation — which, by the way, has already happened. (Unemployment has been at or below 4 percent for almost two years. Thursday’s report on consumer spending showed the Federal Reserve’s preferred measure of underlying inflation getting close to its 2 percent target.) Most of his energy seems to be devoted to the prospect of wreaking revenge on his political opponents, whom he promises to “root out” like “vermin.”",2023-12-01T00:00:09+0000,article,Opinion,Op-Ed,Donald Trump Still Wants to Kill Obamacare. Why?,"Patient Protection and Affordable Care Act (2010);Health Insurance and Managed Care;Obama, Barack;Trump, Donald J;Presidential Election of 2024;Republican Party;United States Politics and Government"
1,"Prosecutors said the former corrections officers had made false statements to investigators after three of them assaulted Quantez Burks, 37, in March 2022.","Six former correctional officers at a West Virginia jail are facing federal charges in the death of an inmate who was assaulted by a group of guards and died last year, the Justice Department said Thursday.",2023-12-01T00:02:56+0000,article,U.S.,News,6 Former Jail Officers Charged in Death of West Virginia Inmate,"Prisons and Prisoners;Deaths (Fatalities);Assaults;Police Brutality, Misconduct and Shootings;Ethics and Official Misconduct;Prison Guards and Corrections Officers;West Virginia"
2,A blueprint reviewed by The Times laid out the attack in detail. Israeli officials dismissed it as aspirational and ignored specific warnings.,"Israeli officials obtained Hamas’s battle plan for the Oct. 7 terrorist attack more than a year before it happened, documents, emails and interviews show. But Israeli military and intelligence officials dismissed the plan as aspirational, considering it too difficult for Hamas to carry out.",2023-12-01T00:16:08+0000,article,World,News,Israel Knew Hamas’s Attack Plan More Than a Year Ago,Israel-Gaza War (2023- );Israel;Defense and Military Forces;Espionage and Intelligence Services;Gaza Strip;Hamas;Terrorism;Border Barriers
3,"TikTok, which is owned by the Chinese company ByteDance, has been locked in a legal battle with Montana since the state passed the ban in April.","A federal judge in Montana on Thursday blocked a statewide ban of TikTok from taking effect next year, at least temporarily preventing the nation’s first such prohibition on the popular video app.",2023-12-01T00:16:41+0000,article,Business Day,News,Judge Halts TikTok Ban in Montana,"TikTok (ByteDance);Beijing Bytedance Technology Co Ltd;Montana;Molloy, Donald W;Knudsen, Austin;Decisions and Verdicts;Social Media;Computers and the Internet;Law and Legislation;Suits and Litigation (Civil);Mobile Applications;Freedom of Speech and Expression;Regulation and Deregulation of Industry;Data-Mining and Database Marketing;First Amendment (US Constitution)"
4,"In his decades in politics, the statesman advised many presidents. Here are some of their thoughts from over the years, in their own words.","Henry A. Kissinger, the former secretary of state who died this week, was a go-to adviser for many American presidents over his decades in politics.",2023-12-01T00:27:49+0000,article,U.S.,News,"Kissinger Had the Ear of Presidents. He Had Their Awe and Ire, Too.","United States Politics and Government;Presidents and Presidency (US);Biden, Joseph R Jr;Kissinger, Henry A;Bush, George;Bush, George W;Carter, Jimmy;Clinton, Bill;Ford, Gerald Rudolph Jr;Nixon, Richard Milhous;Obama, Barack;Trump, Donald J"
5,"Christian Ziegler, the state G.O.P. chairman, is under investigation after a sexual battery allegation. Democrats have called for his resignation.",Florida’s Republican Party found itself roiled on Thursday after the police said they were investigating an accusation made two months ago that the party’s chairman had engaged in sexual battery.,2023-12-01T00:34:00+0000,article,U.S.,News,Criminal Investigation Roils Florida Republican Party,"United States Politics and Government;Republican Party;Moms for Liberty;Democratic Party;DeSantis, Ron;Fried, Nicole (Nikki);Florida;Sarasota (Fla)"
6,"President Biden recommitted to a promise to invest in the continent, as the United States has lagged behind Russia and China in competing for influence.","President Biden hosted President João Lourenço of Angola at the White House on Thursday, promoting a major U.S. investment in the country as he tries to shore up his pledge to revitalize relations with African nations.",2023-12-01T00:35:41+0000,article,U.S.,News,"Biden Hosts Angola’s President, Seeking to Strengthen Africa Ties","United States Politics and Government;United States International Relations;Foreign Investments;Biden, Joseph R Jr;United States Defense and Military Forces;Lourenco, Joao;Angola;AFRICA"
7,"The superyacht, called Koru, arrived in Port Everglades in Florida on Nov. 22, and has been docked near a more-than 610-foot-long oil tanker named Magnolia State.","First, Jeff Bezos’ new megayacht was too big to pass under a bridge in the Netherlands. Now, the massive vessel’s size — it’s more than 400 feet long — has played a role in preventing it from keeping company with other private yachts in Port Everglades, Fla., where it is anchored. ",2023-12-01T00:51:53+0000,article,U.S.,News,Jeff Bezos’ Giant Yacht Is Apparently Too Big to Anchor Near Others in Florida,"Ports;Bezos, Jeffrey P;Amazon.com Inc;Oceanco;Florida;Port Everglades (Fla);Ships and Shipping"
8,The charges illustrate how complicated it can be for American presidents to balance their relationships with deeply imperfect allies.,"On a rainy night in June, President Biden toasted Prime Minister Narendra Modi of India during a state dinner at the White House, celebrating “two great friends, and two great powers” — a gesture of flattery for a leader he has enlisted to help the United States check China’s ambition and counter Russia’s aggression.",2023-12-01T00:54:11+0000,article,U.S.,News,Alleged Assassination Plot on U.S. Soil Tests Biden’s Bond With India’s Leader,Assassinations and Attempted Assassinations;United States International Relations;United States Politics and Government;Sikhs and Sikhism;Justice Department;Espionage and Intelligence Services;Canada;India;New York State
9,Secretary of State Antony J. Blinken met with Israeli officials and a Palestinian leader on Thursday to seek improved conditions for Gaza’s civilians and to try to exert influence over Israel’s expected military offensive.,"As Hamas released more hostages on Thursday under a fragile truce deal, Secretary of State Antony J. Blinken met with Israeli leaders and urged them to take concrete steps to reduce civilian deaths before the military resumed an expected offensive against Hamas in Gaza.",2023-12-01T01:05:19+0000,article,World,News,Blinken Urges Israel to Take Concrete Steps to Aid Civilians as More Hostages Are Freed,"Israel-Gaza War (2023- );Israel;Defense and Military Forces;Kidnapping and Hostages;Gaza Strip;Hamas;Terrorism;Palestinians;Prisons and Prisoners;Civilian Casualties;Deaths (Fatalities);Politics and Government;Blinken, Antony J;State Department;United States International Relations"
