,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,"Prodded by the U.S., Israel agreed to the pause in hostilities and the release of 150 imprisoned Palestinians in exchange for 50 hostages held in Gaza.",Follow live news updates on the Israel-Hamas war.,2023-11-24T00:01:20+0000,article,World,News,"Israel, Hamas Agree to Begin Cease-Fire Friday Morning","Israel-Gaza War (2023- );Palestinians;Prisons and Prisoners;Kidnapping and Hostages;Biden, Joseph R Jr;Al Shifa Hospital (Gaza Strip);Mossad;United Nations;Hamas;Egypt;Gaza Strip;Israel;Qatar;United States;United States International Relations"
1,"Yewande Komolafe’s tangle of grapefruit and herbs, topped with coconut and crispy shallots, calls out like some sort of post-Thanksgiving salad siren.","Maybe you’ve pulled yourself away to scroll through Instagram or check your email or revel in an ephemeral moment of peace and quiet amid the holiday chaos. Or perhaps it’s Friday when you’re reading this, and you haven’t known silence since at least Tuesday afternoon. Wherever you are, whenever it is, I hope you have, are having or had a wonderful Thanksgiving — or just a lovely Thursday afternoon in the twilight of November.",2023-11-24T01:00:01+0000,article,Food,News,"Tangy, Fresh and Crunchy",Cooking and Cookbooks;Content Type: Service;Recipes
2,His political journal challenged liberal and conservative orthodoxies for decades.,"Charles Peters, the founding editor of The Washington Monthly, a small political journal that challenged liberal and conservative orthodoxies and for decades was avidly read in the White House, Congress and the city’s newsrooms, died on Thursday at his home in Washington. He was 96.",2023-11-24T01:07:38+0000,article,U.S.,Obituary (Obit),"Charles Peters, Founder of The Washington Monthly, Dies at 96","Peters, Charles;Deaths (Obituaries);Washington Monthly;News and News Media;Writing and Writers;Magazines;United States Politics and Government;Washington (DC)"
3,"Can you sort 8 historical events? Credit cards, white wedding dresses, and corporate boards.","Can you sort 8 historical events? Credit cards, white wedding dresses, and corporate boards.",2023-11-24T01:56:09+0000,multimedia,The Upshot,Interactive Feature,"Flashback: Your Weekly History Quiz, November 26, 2023",internal-paywall-exempt;Content Type: Quiz
4,The W.H.O. had requested detailed information about a reported surge in respiratory illnesses in children in China. Chinese data suggested the surge was caused by known bacteria and viruses.,"The World Health Organization said that China had shared data about a recent surge in respiratory illnesses in children, one day after the agency said it was seeking information about the possibility of undiagnosed pneumonia cases there.",2023-11-24T02:57:23+0000,article,World,News,W.H.O. Says China Has Shared Data Indicating No Novel Pathogen,China;Disease Rates;Viruses;Children and Childhood;Respiratory Diseases;World Health Organization;Coronavirus (2019-nCoV);Medicine and Health;Hospitals;Beijing (China);Liaoning (China)
5,Rafael Musa offers a merciful yet lively start to our solving weekend.,Jump to: Tricky Clues,2023-11-24T03:00:09+0000,article,Crosswords & Games,News,Present-Day Vehicle,Crossword Puzzles;Games
6,Miriam Estrin and John Ewbank present a creative collaboration for the weekend crossword crowd.,"CRYPTIC CROSSWORD — Both of today’s constructors have contributed daily puzzles to The  New York Times; this is Miriam Estrin’s first crack at a cryptic crossword and John Ewbank’s second take on this type of variety puzzle. They have come up with a terrific grid to solve with friends, be they cryptic-curious, cryptic-intimidated or even cryptic-oblivious, honestly. It’s fun and clever without being obscure, and there are big swaths of anagrams that newbies can work through with a pencil and a napkin, even if they have no idea what a cryptic clue is (to remedy that, there are plenty of online glossaries).",2023-11-24T03:02:02+0000,article,Crosswords & Games,News,Variety: Cryptic Crossword,"Estrin, Miriam (Crossword Constructor);Ewbank, John (Crossword Constructor)"
7,"Han Kwang-song’s recent appearances in World Cup qualifiers were his first ones overseas since 2020, when U.N. sanctions led to an involuntary career break.","When the North Korean men’s soccer team took the field for two 2026 World Cup qualifying matches this month, close observers noticed an important roster change.",2023-11-24T04:28:59+0000,article,World,News,"How a North Korean Soccer Prodigy Vanished, and Re-emerged",Soccer;North Korea;Han Kwang-song (1998- );Embargoes and Sanctions;International Federation of Association Football (FIFA);Juventus (Soccer Team);Al-Duhail (Soccer Team);Italy;Qatar
8,"Quotation of the Day for Friday, November 24, 2023.","“Things were bad, it was terrible. We made progress, and that’s really good.”",2023-11-24T04:40:54+0000,article,Corrections,Quote,Quotation of the Day: Study Shows a Decline in Deaths from Coal Pollution,
9,"The connection between Philip Taylor Jr. and Kristin Dyson was so strong that they stayed until closing at a restaurant and then a wine bar. “It felt like the whole date was 10 minutes,” Ms. Dyson said.","Philip Joseph Lee Taylor Jr. knows how to host a good party. He runs a roving social event series with food and music called Philinthebrunch, and it was at an event in early February 2020 at Row House, a restaurant in Harlem, where he first saw Kristin Tyler Dyson.",2023-11-24T05:00:08+0000,article,Style,News,Neither Wanted the First Date to Ever End,Weddings and Engagements
