,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,"“He ran a really good campaign,” Donald Trump said of Ron DeSantis, who dropped out of the presidential race and backed Mr. Trump earlier on Sunday.","Former President Donald J. Trump on Sunday thanked Gov. Ron DeSantis of Florida for endorsing him after suspending his campaign, calling Mr. DeSantis — once a top rival whom Mr. Trump spent significant time bashing in his speeches — “gracious.”",2024-01-22T00:56:46+0000,article,U.S.,News,"Trump Thanks DeSantis for Endorsement, Calling Him ‘Gracious’","Trump, Donald J;DeSantis, Ron;Presidential Election of 2024;Endorsements;Primaries and Caucuses;Republican Party"
1,"“That name is officially retired,” Donald Trump declared after Gov. Ron DeSantis of Florida ended his campaign and endorsed the former president.",It didn’t take long. ,2024-01-22T01:31:58+0000,article,U.S.,News,‘DeSanctimonious’ No More: Trump Says He’ll Drop Ex-Rival’s Nickname,"Presidential Election of 2024;DeSantis, Ron;Trump, Donald J"
2,"Mr. Gail was known for his role as Stuart Carson on Season 4 of “Beverly Hills, 90210” and had dozens of other television show credits in the 1990s.","David Gail, who played Dr. Joe Scanlon on the ABC soap opera “Port Charles” and appeared on “Beverly Hills, 90210,”  died on Tuesday. He was 58.",2024-01-22T02:55:08+0000,article,Arts,Obituary (Obit),"David Gail of ‘Beverly Hills, 90210’ Dies at 58",Television;Deaths (Obituaries);Soap Operas;Actors and Actresses;Nineteen Hundred Nineties
3,The couple’s relationship became public after Mr. Scott’s final turn on the debate stage. He proposed on Saturday.,"Senator Tim Scott of South Carolina, who for years faced speculation about his marital status, on Saturday proposed to Mindy Noce, his girlfriend and an interior designer who lives in Charleston. She said yes.",2024-01-22T02:55:51+0000,article,U.S.,News,G.O.P. Voters Said No to Tim Scott. His Girlfriend Said Yes.,"Scott, Timothy Eugene;Republican Party;United States Politics and Government;Presidential Election of 2024;Weddings and Engagements"
4,"This week’s installment offered a lot of strong procedural work, suggesting that the season’s central mystery isn’t purely supernatural but can be solved.","During last week’s episode, as Liz and her team were puzzling over the sudden disappearance of eight scientists at the Tsalal Research Station, Hank mused, “Just the third day of darkness and it’s already getting weird.” Based on some of the mysterious events we witnessed that episode, like the gyrating spirit that leads Rose to a grisly tableaux of frozen bodies, a word like “weird” seems woefully insufficient. One question we might have asked ourselves was whether “Night Country” would become a genuine ghost story or a hybrid, blending the noir sleuthing of previous “True Detective” seasons with mere intimations of the supernatural.",2024-01-22T03:01:05+0000,article,Arts,Review,"‘True Detective’ Season 4, Episode 2 Recap: ‘Corpsicle’",Television;True Detective (TV Program)
5,"Planes struggled to stick their landings, as Storm Isha brought powerful winds across Britain.","Planes struggled to stick their landings, as Storm Isha brought powerful winds across Britain.",2024-01-22T03:54:05+0000,multimedia,World,Video,Winter Storm Makes Landings Difficult at Heathrow,"AIRLINES AND AIRPLANES;Wind;Heathrow Airport (London, England);Great Britain"
6,"Quotation of the Day for Monday, January 22, 2024.","“I bring them salt, cookies and love.”",2024-01-22T04:03:50+0000,article,Corrections,Quote,Quotation of the Day: Fading Swiss Glaciers Force Traditions to Bend,
7,"No corrections appeared in print on Monday, Jan. 22, 2024.","Errors are corrected during the press run whenever possible, so some errors noted here may not have appeared in all editions.",2024-01-22T04:04:20+0000,article,Corrections,News,"No Corrections: Jan. 22, 2024",
8,The temple inaugurated by the prime minister is on the disputed site of a centuries-old mosque destroyed in a Hindu mob attack that set a precedent of impunity in cases of violence against Muslims.,"They fanned out across the vast country, knocking on doors in the name of a cause that would redefine India.",2024-01-22T05:20:20+0000,article,World,News,Modi Opens a Giant Temple in a Triumph for India’s Hindu Nationalists,"Hinduism;Religion and Belief;Politics and Government;Temples (Religious);Muslims and Islam;Nationalism (Theory and Philosophy);Bharatiya Janata Party;Rashtriya Swayamsevak Sangh (India);Modi, Narendra;Ayodhya (India)"
9,"Its site is sacred to Hindus, and it also represents the much more recent victory of Hinduism as a political identity.","Prime Minister Narendra Modi inaugurated a gigantic new temple in the Indian city of Ayodhya on Monday, concluding a long campaign in which Hindu nationalists tore down a centuries-old mosque and replaced it with a structure devoted to the Hindu deity Ram.",2024-01-22T05:26:35+0000,article,World,News,Why India’s New Ram Temple Is So Important,"Hinduism;Places of Worship;Mosques;Religion and Belief;Politics and Government;Religion-State Relations;Temples (Religious);Muslims and Islam;Bharatiya Janata Party;Modi, Narendra;Ayodhya (India)"
10,The latest from the war in Gaza.,"Brett McGurk, President Biden’s Middle East coordinator at the White House, departed for Cairo yesterday for talks aimed at the release of more hostages held by Hamas in exchange for a pause in Israel’s military campaign in the Gaza Strip, U.S. officials said.",2024-01-22T05:41:53+0000,article,Briefing,briefing,Monday Briefing,
11,The agency issued a safety alert recommending that airlines inspect door plugs on a Boeing 737 plane that has the same design for the panels as the 737 Max 9.,"The Federal Aviation Administration recommended late Sunday night that airlines begin visual inspections of door plugs installed on Boeing 737-900ER planes, the second Boeing model to come under scrutiny this month.",2024-01-22T05:46:01+0000,article,Business Day,News,F.A.A. Tells Airlines to Check Panels on a Second Boeing Plane,"Boeing 737 Max Groundings and Safety Concerns (2019);Aviation Accidents, Safety and Disasters;AIRLINES AND AIRPLANES;Regulation and Deregulation of Industry;United States Politics and Government;Federal Aviation Administration;Boeing Company"
12,"Prime Minister Narendra Modi fulfilled a decades-long promise with the inauguration of the temple, which his Hindu nationalist base has compared to the Vatican. But it also stirs memories of a violent past.","Prime Minister Narendra Modi fulfilled a decades-long promise with the inauguration of the temple, which his Hindu nationalist base has compared to the Vatican. But it also stirs memories of a violent past.",2024-01-22T05:52:20+0000,multimedia,World,Video,Why India’s Ram Temple Is a Big Win for Modi,"Temples (Religious);Hinduism;Modi, Narendra;India;Ayodhya (India);Muslims and Islam;Mosques;Politics and Government;Demonstrations, Protests and Riots;Ram Mandir (Ayodhya, India, Temple);Nationalism (Theory and Philosophy)"
13,Iran is asserting its military strength amid the widening regional turmoil in the Middle East. That doesn’t mean its leaders want to be drawn into a wider war.,"The war in Gaza has now gone where many feared it would, expanding into conflict in Lebanon, Syria, Iraq and the Red Sea. With America’s repeated strikes against the Houthis in Yemen this month, fears of a larger regional conflagration are steadily growing.",2024-01-22T06:00:11+0000,article,Opinion,Op-Ed,Why Iran Doesn’t Want a War,"Iran;Israel;Israel-Gaza War (2023- );Hezbollah;Hamas;Houthis;Pakistan;Red Sea;Syria;Iraq;Islamic State in Iraq and Syria (ISIS);Suleimani, Qassim;Islamic Revolutionary Guards Corps;Middle East"
14,The Bravo show wraps up its eighth season. Joey Graziadei leads the 28th season of the reality dating show.,"Between network, cable and streaming, the modern television landscape is a vast one. Here are some of the shows, specials and movies coming to TV this week, Jan. 22-28. Details and times are subject to change.",2024-01-22T06:00:16+0000,article,Arts,News,What’s on TV This Week: ‘Below Deck Mediterranean’ and ‘The Bachelor’,Television;Movies
