,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,"Amid some of the war’s heaviest bombing, Israeli forces battled Hamas deep into the city of Khan Younis, with few signs that Israel was heeding Biden administration calls to show more restraint.","Israeli soldiers pushed into the heart of the largest city in the southern Gaza Strip on Tuesday, Israel and Hamas said, amid some of the most intense bombing and ground combat of the war, and growing concerns that there is almost nowhere left for desperate civilians to flee.",2023-12-06T00:00:19+0000,article,World,News,"War Intensifies in Southern Gaza, Where Civilians Say No Place Is Safe","Israel-Gaza War (2023- );Civilian Casualties;Refugees and Displaced Persons;Palestinians;Evacuations and Evacuees;Defense and Military Forces;United States International Relations;Khan Younis (Gaza Strip);Hamas;Gaza Strip;Israel;Biden, Joseph R Jr"
1,"The ruling, which affirms a decision to reinstate a pardon, defies an order by an international court that former President Alberto Fujimori continue to serve his sentence for human rights violations.","Peru’s top court on Tuesday ordered former President Alberto Fujimori released from prison, where he is serving a 25-year sentence for human rights violations, defying an order by an international court that the South American country keep him behind bars.",2023-12-06T00:16:52+0000,article,World,News,Peru’s Top Court Orders Fujimori Released From Prison,"Amnesties, Commutations and Pardons;Politics and Government;Human Rights and Human Rights Violations;War Crimes, Genocide and Crimes Against Humanity;Fujimori, Alberto K;Boluarte, Dina;Inter-American Court of Human Rights;Peru"
2,"Donald Trump, who has already promised to use the Justice Department to “go after” his political adversaries, is expected to install Mr. Patel in a senior role if he returns to power.",A confidant of Donald J. Trump who is likely to serve in a senior national security role in any new Trump administration threatened on Tuesday to target journalists for prosecution if the former president regains the White House.,2023-12-06T01:02:40+0000,article,U.S.,News,"A New Trump Administration Will ‘Come After’ the Media, Says Kash Patel","Patel, Kashyap;Trump, Donald J;Bannon, Stephen K;Presidential Election of 2024;News and News Media;Freedom of the Press"
3,Peter A. Collins and Bruce Haight craft a puzzle with signature brilliance.,Jump to: Today’s Theme | Tricky Clues,2023-12-06T03:00:07+0000,article,Crosswords & Games,News,Have a Gander,Crossword Puzzles;Games
4,"Darryl George, who wears locs, had just returned to Barbers Hill High School in Texas after being sent to a disciplinary school. Officials suspended him over his hair again on Tuesday.","Darryl George, the Texas high school student who earlier this year was removed from school because his hairstyle violated a dress code, was suspended again on Tuesday, the latest flashpoint in a monthslong dispute over a school policy that has spilled into the courts.",2023-12-06T03:06:50+0000,article,U.S.,News,Black Student in Texas Is Suspended Over Hair Length Again,"Education (K-12);School Discipline (Students);Discrimination;Education (Secondary);Hair;Black People;Blacks;Dress Codes;George, Darryl (Barbers Hill High School Student);Barbers Hill High School (Mont Belvieu, Tex);Mont Belvieu (Tex)"
5,"Two other people were shot and injured in the shooting, a rarity in Britain. They were taken to a hospital and their status was not immediately clear.","A 42-year-old woman was fatally shot in east London on Tuesday evening in a rare deadly shooting, the authorities said.",2023-12-06T03:38:00+0000,article,World,News,Woman Shot and Killed in East London,"Murders, Attempted Murders and Homicides;Police;London (England)"
6,"Halloween provides the perfect disguise for a home invasion. Of course, this is “Fargo,” so nothing goes quite as planned.","One of the strengths of “Fargo” this season is the way it has drawn closer to the Coensverse by re-contextualizing major pieces of it, rather than by tucking in referential Easter eggs for fans to collect. (Although it has done plenty of that, too.) The first attempt to abduct Dot, for example, closely mirrors the sequence in the Coens’ “Fargo” where Jean Lundegaard has her morning routine disrupted by intruders, though Dot proves far more capable of defending herself. She is determined, beyond all reason, to be like Jean, the housewife and P.T.A. mom who carves out a little time to knit in front of weekday talk shows. But she cannot escape who she really is.",2023-12-06T04:00:06+0000,article,Arts,Review,"‘Fargo’ Season 5, Episode 4 Recap: Trick or Treat",Television;Fargo (TV Program)
7,"Pressed by Sean Hannity to promise not to abuse power, Donald Trump agreed he wouldn’t, “other than Day 1,” adding: “We’re closing the border. And we’re drilling, drilling, drilling. After that, I’m not a dictator.”","Twice during a town hall on “Fox News” on Tuesday night, Sean Hannity asked former President Donald J. Trump to say categorically that he would not abuse presidential power and retaliate against his political opponents if elected next year.",2023-12-06T04:18:40+0000,article,U.S.,News,"Trump Says He Wouldn’t Be a Dictator, ‘Except for Day 1’","Presidential Election of 2024;Trump, Donald J;Hannity, Sean;Republican Party;Fox News Channel;United States Politics and Government"
8,"The SAG-AFTRA vote formally ends six months of labor strife, though some members were not happy about the contract’s artificial intelligence protections.",Actors have voted to approve a new three-year contract with studios although some union members remained dissatisfied with the deal’s artificial intelligence protections. The ratification formally ended six months of labor unrest in the entertainment industry.,2023-12-06T04:41:22+0000,article,Business Day,News,"Actors Ratify Deal With Hollywood Studios, With Reservations",Organized Labor;Artificial Intelligence;Actors and Actresses;Movies;SAG-AFTRA;Hollywood (Calif)
9,"Alarmed by the power of artificial intelligence, Europe, the United States and others are trying to respond — but the technology is evolving more rapidly than their policies.","When European Union leaders introduced a 125-page draft law to regulate artificial intelligence in April 2021, they hailed it as a global model for handling the technology.",2023-12-06T05:00:08+0000,article,Technology,News,How Nations Are Losing a Global Race to Tackle A.I.’s Harms,"Artificial Intelligence;Computers and the Internet;Regulation and Deregulation of Industry;International Relations;Politics and Government;ChatGPT;Facial Recognition Software;European Union;OpenAI Labs;Google Inc;Meta Platforms Inc;Microsoft Corp;Anthropic AI LLC;Senate;Altman, Samuel H;Europe;United States"
10,The former prime minister said his government had initially underestimated the coronavirus. But he insisted that he and his aides had done the best they could at the time.,"Regretful but unruffled, Boris Johnson acknowledged on Wednesday that as Britain’s prime minister during the pandemic, he had underestimated the emerging threat of the coronavirus in early 2020. But he rejected suggestions that his government’s initially sluggish response had driven up Britain’s death toll.",2023-12-06T05:01:12+0000,article,World,News,Boris Johnson Apologizes at U.K. Covid Inquiry for ‘Pain and Suffering’,"Johnson, Boris;Coronavirus (2019-nCoV);Quarantines;Politics and Government;Ethics and Official Misconduct;Sunak, Rishi (1980- );Great Britain"
11,Accounts of sexual violence by Hamas.,"President Biden condemned the “unimaginable cruelty” of Hamas attackers who raped and mutilated women in Israel on Oct. 7, and he blamed the terrorist group’s refusal to release its remaining female hostages for the breakdown in cease-fire talks. Hamas has rejected the allegations. Read an analysis of Biden’s foreign policy strategy.",2023-12-06T05:05:05+0000,article,Briefing,briefing,Wednesday Briefing,
12,"The Air Force, Navy and Marine Corps said a problem with the aircraft may have caused the crash last week, which is believed to have killed eight airmen.","The U.S. Air Force, Navy and Marine Corps said on Wednesday that they were grounding their fleets of Ospreys after a preliminary investigation found that a problem with the aircraft may have caused a crash last week off Japan that is believed to have killed all eight airmen aboard.",2023-12-06T05:10:24+0000,article,World,News,U.S. Military Grounds Hundreds of Ospreys After Fatal Crash Off Japan,"United States Air Force;Military Aircraft;Aviation Accidents, Safety and Disasters;Japan;Yakushima (Japan);United States Defense and Military Forces;United States Marine Corps"
13,The country’s reputation is at stake.,"Germany occupies a special place in the international imagination. After the horrors of the Holocaust and the difficulties of reunification, the country acquired a reputation as a leader of the free world. Economically prosperous, politically stable and more welcoming to immigrants than most other countries, the Germans — many thought — had really learned their lesson.",2023-12-06T06:00:09+0000,article,Opinion,Op-Ed,How Germany Became Mean,"Germany;Politics and Government;Scholz, Olaf (1958- );Lindner, Christian W;Alternative for Germany;Immigration and Emigration;Anti-Semitism;Economic Conditions and Trends"
14,"Twitch, once popular among South Korean gamers, will shut its business there in February. Streamers in South Korea would no longer be able to make money through Twitch.","Twitch, the popular video streaming service, will shut down its services in South Korea next year, the company said on Tuesday, after struggling for years with the “prohibitively expensive” costs of operating in the country.",2023-12-06T06:28:26+0000,article,Business Day,News,Twitch Will Shut Down Its Streaming Platform in South Korea,"Twitch Interactive Inc;Computer and Video Games;Video Recordings, Downloads and Streaming;E-Sports;Social Media;South Korea"
15,"Wednesday’s debate will air on platforms like NewsNation and the CW. “So, in other words, look for it wherever you get your computer viruses,” Seth Meyers joked.",Follow live updates on the fourth Republican presidential debate.,2023-12-06T06:42:16+0000,article,Arts,News,Late Night Foresees a Limited Audience for Fourth G.O.P. Debate,Television;internal-open-access-from-nl;Late Night with Seth Meyers (TV Program);The Tonight Show (TV Program);The Daily Show with Trevor Noah (TV Program);Jimmy Kimmel Live (TV Program)
16,This word has appeared in 54 articles on NYTimes.com in the past year. Can you use it in a sentence?,"The word desalination has appeared in 54 articles on NYTimes.com in the past year, including on Nov. 18 in “Dubai’s Costly Water World” by Arielle Paul:",2023-12-06T07:00:01+0000,article,The Learning Network,News,Word of the Day: desalination,
17,In case you need some puzzle help.,"Welcome to The Wordle Review. Be warned: This page contains spoilers for today’s puzzle. Solve Wordle first, or scroll at your own risk.",2023-12-06T08:00:02+0000,article,Crosswords & Games,News,Today’s Wordle Review,Wordle (Puzzle)
18,In case you need some puzzle help.,"Good morning, dear connectors. Welcome to today’s Connections forum, where you can give and receive puzzle — and emotional — support.",2023-12-06T08:00:03+0000,article,Crosswords & Games,News,The Connections Companion,Crossword Puzzles;Connections (Game)
19,Feeling stuck on today’s puzzle? We can help.,"Hi busy bees! Welcome to today’s Spelling Bee forum. There are a number of terms that appear in both this article and other online discussions of the Spelling Bee; a glossary of those terms compiled by Monicat, a Times reader, can be found below.",2023-12-06T08:00:03+0000,article,Crosswords & Games,News,Spelling Bee Forum,Spelling Bee (Game)
20,"Juries recently awarded plaintiffs more than $2 billion in damages tied to Roundup, the weedkiller that has been linked to cancer. Bayer is fighting back.","Three years after Bayer agreed to pay $10 billion to settle claims that its weedkiller, Roundup, caused cancer, juries continue to award plaintiffs in additional cases billions of dollars in damages, even as the German drug and chemicals giant insists it will continue its fight in court.",2023-12-06T08:00:19+0000,article,Business Day,News,"Years After Monsanto Deal, Bayer’s Roundup Bills Keep Piling Up",Compensation for Damages (Law);Drugs (Pharmaceuticals);Hazardous and Toxic Substances;Suits and Litigation (Civil);Bayer AG;Monsanto Company;Defoliants and Herbicides;Cancer;Agriculture and Farming;Weeds;Liability for Products
21,"Wednesday’s Trump-less debate is a breakthrough moment for a fledgling cable network — and a comeback of sorts for Ms. Kelly, a former Fox News star.","Eight years ago, Megyn Kelly’s turn as a debate moderator made headlines around the world. Before an audience of 24 million Fox News viewers, she confronted Donald J. Trump about his history of misogynist remarks, setting off a well-publicized feud that helped her leap from cable news to NBC.",2023-12-06T08:00:21+0000,article,Business Day,News,"Megyn Kelly Returns to the Debate Spotlight, This Time on NewsNation","Television;Kelly, Megyn;News and News Media;Debates (Political);NewsNation;Presidential Election of 2024;Ratings (Audience Measurement);Nexstar Media Group;Sirius XM Radio Inc;Washington Free Beacon, The;Fox News Channel;Republican Party;Vargas, Elizabeth;Johnson, Eliana (1984- )"
22,"OK, some weren’t people, but they all made us talk: about what we wear, how we live and how we express ourselves.",The “people” on this list — who are presented in no particular order — reflect the ways that the Styles desk defines its coverage: high and low; fun and serious; curious and open-minded; reveling in characters; appreciating the material world; inviting everyone to the party.,2023-12-06T08:02:20+0000,article,Style,News,Styles’s 71 Most Stylish ‘People’ of 2023,"Two Thousand Twenty Three;Fashion and Apparel;Yeoh, Michelle;Knowles, Beyonce;Philo, Phoebe;Tiafoe, Frances (1998- );Bottoms (Movie);NewJeans (Music Group);McHenry, Patrick T;Bezos, Jeffrey P;Sanchez, Lauren (1969- );Kelce, Travis;Dlamini, Amala Zandile (Doja Cat);Mulvaney, Dylan (1996- );Williams, Pharrell;Paltrow, Gwyneth;Sphere (Las Vegas, Nev);Cumming, Alan;Hill, Lauryn;Mescal, Paul (1996- );Succession (TV Program);Elordi, Jacob;Jones, Justin (1995- );Gladstone, Lily;M3GAN (Movie);Lee, Greta;Charles III, King of the United Kingdom;Ice Spice (Rapper);Smith, Maggie;Lyons, Jenna;Carmichael, Jerrod;Hussein bin Abdullah, Crown Prince of Jordan;Roach, Law;Kish, Kristen;Gupta, Gaurav;Sivan, Troye (1995- );Zuckerberg, Mark E;Madix, Ariana (1985- );Beef (TV Program);Sennott, Rachel;Edebiri, Ayo;Wong, Ali (1982- );Jenkins, Karl (1944- );Earps, Mary;Pascal, Pedro;Stewart, Martha;Prada, Miuccia;Yoon Suk-yeol;Rodrigo, Olivia (2003- );McCray, Chirlane;de Blasio, Bill;Barbie (Movie);Coughlan, Nicola (1987- );Nef, Hari (1992- );Rae, Issa;McKinnon, Kate;Robbie, Margot;Richie, Sofia (1998- );DeBose, Ariana;Oppenheimer (Movie);Murphy, Cillian;CARROLL, E JEAN;Tems (1995- );Beckham, David;Beckham, Victoria;Cher (1946- );Saltburn (Movie);Mulligan, Carey;Gauff, Cori (2004- );Swift, Taylor;Rihanna"
23,"Would you want to decorate your home like your favorite book, movie or television show?",Some people love Disney — its characters and movies — so much that they want to live in its fantasy world every day at home.,2023-12-06T09:00:02+0000,article,The Learning Network,News,Dream Décor,
24,"The man, Shane M. James, 34, has been charged with capital murder and is expected to face more charges in the coming days.","The authorities in Texas said on Wednesday that a former U.S. Army officer with a history of mental health issues killed his parents in the family’s San Antonio-area home before traveling about 80 miles to Austin, where he fatally shot four more people on Tuesday.",2023-12-06T09:22:01+0000,article,U.S.,News,Police Say Man Killed His Parents Before Killing Four Others in Austin,"James, Shane Matthew Jr (1989- );Murders, Attempted Murders and Homicides;Attacks on Police;Austin (Tex);San Antonio (Tex)"
25,"Like many who call Madrid home, Elena Medel was born elsewhere, but forged her identity in the Spanish capital. Here, she recommends books about this city that “refuses to be reduced to an ideal.”","Few challenges are as complex in Madrid as finding a cat. Not the animal, but a gato — someone who was born in Madrid, whose parents and grandparents were born in Madrid. Nobody in Madrid was born here: You’ll seldom be asked where you are from, because the assumption is that you’re from somewhere else, although suspicion — and prejudice — can come up when you have a certain accent or skin color.",2023-12-06T10:00:10+0000,article,Books,News,Read Your Way Through Madrid,"Madrid (Spain);Books and Literature;Content Type: Service;Spanish Civil War (1936-39);Poetry and Poets;Theater;Writing and Writers;Libraries and Librarians;Culture (Arts);Garcia Lorca, Federico;Grandes, Almudena (1960-2021);Hemingway, Ernest;Lerner, Ben;Lindo, Elvira;Cela, Camilo Jose;Navarro, Elvira;The Ages of Lulu (Book);The Hive (Book);The Wonders (Book)"
26,"George Latimer, the Westchester County executive, told The New York Times he would run against Jamaal Bowman, a rising star of the Democratic left, next year.","After months of public deliberation and prodding from donors aligned with Israel, George Latimer, the Westchester County executive, said on Wednesday that he would mount a Democratic primary challenge against Representative Jamaal Bowman of New York.",2023-12-06T10:00:31+0000,article,New York,News,Bowman Is Latest House Democrat to Face a Primary Over Israel Stance,"Latimer, George S;Bowman, Jamaal;Primaries and Caucuses;United States Politics and Government;Elections, House of Representatives;Israel-Gaza War (2023- );Jews and Judaism;Political Action Committees;Westchester County (NY);New York State;AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE;House of Representatives;Democratic Party"
27,"New terrain development at ski resorts, primarily in Colorado, aims to chase and preserve snow, an invaluable commodity.","Despite the La Niña weather pattern that dumped snowfall by the foot last winter at many mountain resorts in the western United States, global warming fundamentally threatens the survival of the ski business. In response, ski areas are increasingly investing in efficient snow-making and carbon emissions reductions. Some areas, especially in the West, are also pursuing another method: developing terrain higher up mountains where colder climes or steeper, tree-filled terrain are more likely to hold the snow.",2023-12-06T10:00:38+0000,article,Travel,News,Seeking Higher Ground: Western Resorts Take Skiers Where the Snow Is,Travel and Vacations;Snow and Snowstorms;Skiing;Snowboarding;Aspen (Colo);Snowmass (Colo);Steamboat Springs (Colo);Colorado;Taos (NM);Global Warming
28,"The flute is one of the more overlooked instruments in jazz, but it’s been making an impact on improvised music for more than 50 years. Let 10 experts take you on a guided tour.","We’ve taken you through the great jazz pianists, the vocalists, the careers of Alice Coltrane and Ornette Coleman and Mary Lou Williams. This month, we thought we’d go down a less-trodden path, taking a look at one of the more overlooked instruments in jazz: the flute.",2023-12-06T10:00:49+0000,article,Arts,News,5 Minutes That Will Make You Love Jazz Flute,"Jazz;Flutes;Dolphy, Eric;Lateef, Yusef (1920-2013);Valentin, Dave;Scott-Heron, Gil;McFerrin, Taylor;Jackson, Brian R (1952- )"
29,"There is nothing tame about sledding in Switzerland, where participants rocket down steep, miles-long slopes, sometimes at night.","To reach the top of the Waldspritz sledding run above the village of Grindelwald in the Swiss Alps, I hiked 90 minutes into the backcountry, dragging a small runnered sled by a rope to roughly 7,400 feet.",2023-12-06T10:01:05+0000,article,Travel,News,Teetering Between Joy and Terror: Extreme Sledding in the Swiss Alps,Sleds;Grindelwald (Switzerland);ALPS MOUNTAINS;Travel and Vacations
30,Humberto Leon was a “cool kid” of fashion. Then he decided he wanted more.,"Last year, it became Humberto Leon’s job to shape the appearances of 20 young women, whose ages ranged from 14 to 21.",2023-12-06T10:01:07+0000,article,Style,News,How to Design a Girl Group,"Fashion and Apparel;Pop and Rock Music;K-Pop;Opening Ceremony LLC;Leon, Humberto;Los Angeles (Calif);Content Type: Personal Profile;Universal Music Group"
31,The new video game about a teenager’s journey across the Scottish Highlands is part of an emerging subgenre concerned with the mechanics of movement.,"Moira is a teenager on the run when she steps further back into the many layers of grand landscape paintings that make up the mountains, valleys and rivers of A Highland Song. She crosses the video game’s Scottish Highlands on her journey to the coast in time for the Gaelic May Day festival Beltane, where her uncle, a lighthouse keeper, is waiting.",2023-12-06T10:01:10+0000,article,Arts,News,A Highland Song’s Landscape Beckons on Every Climb,Computer and Video Games;A Highland Song (Video Game);Inkle Ltd
