,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,"The Georgia congresswoman has repeatedly downplayed, and at times defended, the attack on the Capitol three years ago.","A Florida venue canceled an event on Saturday featuring Marjorie Taylor Greene, the far-right Georgia congresswoman and acolyte of Donald J. Trump, after materials promoting the event advertised it, in part, as an occasion marking the third anniversary of the Jan. 6, 2021, attack on the Capitol.",2024-01-06T00:11:37+0000,article,U.S.,News,Book-Signing for Marjorie Taylor Greene on Jan. 6 Stirs a Backlash,"Storming of the US Capitol (Jan, 2021);House Select Committee to Investigate the January 6th Attack;Greene, Marjorie Taylor (1974- );Florida;Republican Party;Presidential Election of 2024"
1,"Gov. Mike DeWine, who had vetoed a ban on gender transition care for minors just a week ago, issued an executive order that prohibits transition surgeries for all residents.","Just a week after vetoing a ban on gender-affirming care for minors, Gov. Mike DeWine of Ohio issued an executive order on Friday banning gender-transition surgeries for anyone under 18 at state hospitals or ambulatory clinics.",2024-01-06T00:19:44+0000,article,U.S.,News,Ohio Governor Orders Restrictions on Transgender Care After Vetoing Ban,"Ohio;Transgender;Teenagers and Adolescence;Surgery and Surgeons;Politics and Government;DeWine, Mike;Republican Party;State Legislatures;Governors (US);Executive Orders and Memorandums"
2,The plan exposed divisions in Israel’s war cabinet as Secretary of State Antony J. Blinken returned to the Middle East on Friday in an effort to ease escalating tensions.,"As Secretary of State Antony J. Blinken returned to the Middle East on Friday in an effort to ease escalating tensions, Israel’s defense minister floated a postwar plan for the Gaza Strip that exposed divisions in Prime Minister Benjamin Netanyahu’s wartime government.",2024-01-06T00:20:53+0000,article,World,News,"As Pressure Mounts, Israeli Minister Proposes Plan for Postwar Gaza","Israel-Gaza War (2023- );Israel;Israeli Settlements;Hamas;Palestinians;Palestinian Authority;Netanyahu, Benjamin;International Relations;Assassinations and Attempted Assassinations;Defense and Military Forces;Arouri, Saleh al- (1966-2024);Ben-Gvir, Itamar;Blinken, Antony J;Gallant, Yoav;Halevi, Herzl;Beirut (Lebanon);Gaza Strip;Lebanon;Middle East;United States Politics and Government;Hezbollah;Likud Party (Israel)"
3,"At a campaign event in Iowa, former President Donald J. Trump denounced Nikki Haley, the former governor of South Carolina, as the choice of corporate and political elites.","Former President Donald J. Trump on Friday opened one of his most targeted lines of attack yet against Nikki Haley, the former governor of South Carolina who has emerged as one of his top competitors for the Republican nomination, accusing her of being “in the pocket” of “establishment donors.”",2024-01-06T01:47:40+0000,article,U.S.,News,Trump Targets Nikki Haley in Sharpest Attacks Yet,"Presidential Election of 2024;Primaries and Caucuses;Republican Party;Haley, Nikki R;Trump, Donald J;Hoffman, Reid Garrett"
4,These 17 tracks will get you moving.,"Ahmir K. Thompson, also known as Questlove, seems to have boundless energy. Just look at his résumé: He’s a producer, podcast host, Academy Award-winning director, author, D.J. and drummer for the hip-hop band the Roots.",2024-01-06T02:00:09+0000,article,Well,News,Questlove Made You an Energy Playlist,Music;Pop and Rock Music;Rap and Hip-Hop;Classical Music
5,"Today, we’ll share a few final tips to keep you motivated in 2024.","This is Day 6 of the 6-Day Energy Challenge. To start at the beginning, click here.",2024-01-06T02:12:49+0000,article,Well,News,Day 6: How to Stay Energized All Year Long,Content Type: Service;Text Messaging
6,Ezra Klein interviews Gloria Mark.,"Every Tuesday and Friday, Ezra Klein invites you into a conversation about something that matters, like today’s episode with Gloria Mark. Listen wherever you get your podcasts.",2024-01-06T02:41:26+0000,article,Podcasts,Op-Ed,Transcript: Ezra Klein Interviews Gloria Mark,"Klein, Ezra;Mark, Gloria"
7,"Neri Oxman, a former M.I.T. professor, is accused of copying from Wikipedia. Her husband, William Ackman, vowed to check the work of the entire M.I.T. faculty.",Accusations of plagiarism appear to be the newest weapon in the raging battle over the leadership and direction of elite universities.,2024-01-06T02:46:54+0000,article,U.S.,News,Wife of Investor Who Pushed for Harvard President’s Exit Is Accused of Plagiarism,"Plagiarism;Colleges and Universities;Harvard University;Massachusetts Institute of Technology;Gay, Claudine;Kornbluth, Sally A;Ackman, William A;Oxman, Neri;Insider Inc"
8,The filing by Jack Smith was the latest volley in a battle over the timing of the case accusing the former president of plotting to overturn the 2020 election.,Federal prosecutors pushed back on Friday night against former President Donald J. Trump’s attempts to hold them in contempt of court for continuing to file motions while the case accusing him of plotting to overturn the 2020 election is paused.,2024-01-06T02:54:09+0000,article,U.S.,News,Prosecutors Push Back on Trump’s Contempt Claims in Election Case,"Smith, Jack (Attorney);Federal Criminal Case Against Trump (2020 Election Case);Special Prosecutors (Independent Counsel);Chutkan, Tanya S;Trump, Donald J;Immunity from Prosecution"
9,Ben Tolkin and Julian Xiao shake us up with a fast-paced Saturday themeless.,"SATURDAY PUZZLE — Ben Tolkin and Julian Xiao are fairly new to the crossword game —this is Mr. Xiao’s debut, and Mr. Tolkin had one grid published last summer. They make a winning combination. I think you can feel their enthusiasm in the clue set, which is stuffed with so many witty moments that it seems to be bantering with you throughout the solve. Two great idiomatic marquee entries, both debuts, also cross in the center of the puzzle.",2024-01-06T03:00:10+0000,article,Crosswords & Games,News,Twists of a Screwdriver?,Crossword Puzzles
