,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,"After bracing for the worst, the state so far has recorded no deaths from Tropical Storm Hilary, officials said. Some desert and mountain communities are digging out from a deluge of mud.","As sunshine returned to Southern California on Monday, residents and officials said the region had avoided catastrophic damage from Tropical Storm Hilary, which broke records for August rainfall as it passed into California on Sunday but was much diminished from the fearsome Category 4 hurricane that had alarmed meteorologists days earlier when it was over the Pacific Ocean.",2023-08-22T00:04:11+0000,article,U.S.,News,California Evades Catastrophic Damage From Rare Tropical Storm,Hurricane Hilary (2023);Floods;California;Los Angeles County (Calif);San Diego County (Calif);San Bernardino (Calif);Riverside County (Calif)
1,"A majority of Southern California households lack flood insurance. In the aftermath of Tropical Storm Hilary, older residents of a mobile home community in Cathedral City must now find a way to pay for damages.","A majority of Southern California households lack flood insurance. In the aftermath of Tropical Storm Hilary, older residents of a mobile home community in Cathedral City must now find a way to pay for damages.",2023-08-22T00:26:53+0000,multimedia,U.S.,Video,‘We’re Not Covered’: Californians Face High Bills After Rare Storm,Hurricane Hilary (2023);Floods;Mobile Homes and Trailers;California;Cathedral City (Calif)
2,"Frank Cavalluzzi, wearing a glove fitted with serrated blades, accosted a peaceful group of demonstrators in Whitestone, Queens, in June 2020.","A Queens man who menaced a peaceful group of Black Lives Matter protesters with a bladed glove and then drove his car at them faces a long prison term after being convicted on nine attempted murder counts and other charges, officials said on Monday.",2023-08-22T00:31:21+0000,article,New York,News,Man Guilty in Attack on Black Lives Matter Protest With Claw and Car,"Cavalluzzi, Frank;Black Lives Matter Movement;Murders, Attempted Murders and Homicides;George Floyd Protests (2020);Whitestone (Queens, NY)"
3,"Eight Republican presidential hopefuls will spar on Wednesday night in Milwaukee, without the party’s dominant front-runner.","Former President Donald J. Trump won’t be there. But eight other Republicans hoping to catch him are now set for the first debate of the 2024 presidential primary on Wednesday in Milwaukee, the Republican National Committee announced on Monday night.",2023-08-22T01:00:10+0000,article,U.S.,News,"8 Candidates Are Announced for First G.O.P. Debate, Trump Not Among Them","Presidential Election of 2024;Debates (Political);Primaries and Caucuses;Republican Party;Republican National Committee;Fox News Channel;DeSantis, Ron;Pence, Mike;Christie, Christopher J;Hutchinson, Asa;Scott, Timothy Eugene;Haley, Nikki R;Ramaswamy, Vivek (1985- );Burgum, Douglas;Elder, Larry (1952- );Johnson, Perry (1948- );Hurd, Will;Suarez, Francis X (1977- );Trump, Donald J"
4,"In the face of regional and domestic objections, the country plans to proceed with a discharge at Fukushima that will eventually reach more than a million tons of water.","Japan will begin releasing treated radioactive wastewater from the ruined Fukushima Daiichi nuclear plant into the ocean this week, its government said on Tuesday, setting aside regional and domestic objections as it moves to eventually discharge over a million tons of the water into the sea.",2023-08-22T01:49:27+0000,article,World,News,Japan to Release Treated Water From Ruined Nuclear Plant Despite Concerns,Radiation;Japan Earthquake and Tsunami (2011);International Atomic Energy Agency;Fukushima Daiichi Nuclear Power Plant (Japan);Fukushima (Japan);Japan
5,"Gen. Hun Manet is expected to guide a generational shift in Cambodian politics, taking over for his father Hun Sen, one of the world’s longest-ruling prime ministers.","For close to four decades, Hun Sen, the prime minister of Cambodia, maintained his grip on power by upholding a simple conceit: The country needed him, and, as such, he could never retire.",2023-08-22T01:52:32+0000,article,World,News,A ‘Once-in-a-Lifetime’ Change in Cambodia: A New Leader,Politics and Government;International Relations;Cambodian People's Party;Khmer Rouge;Assn of Southeast Asian Nations;Hun Manet (1977- );Hun Sen;Cambodia
6,Jay Silverman makes question-mark clues less daunting.,Jump to: Today’s Theme | Tricky Clues,2023-08-22T02:00:07+0000,article,Crosswords & Games,News,Blue (Da Ba Dee),Crossword Puzzles
7,"Quotation of the Day for Tuesday, August 22, 2023.",“I’m a wrestling fan. I’m imagining a royal rumble on the debate stage.”,2023-08-22T02:35:05+0000,article,Corrections,Quote,Quotation of the Day: Democrats Rooting for a Rowdy G.O.P. Debate,
8,"Corrections that appeared in print on Tuesday, Aug. 22, 2023.","Because of an editing error, an article on Friday about the evacuation of the Canadian city of Yellowknife misstated the status of the Northwest Territories. It is a territory of Canada, not a province.",2023-08-22T02:35:53+0000,article,Corrections,Correction,"Corrections: Aug. 22, 2023",
9,"Lawrence Rudolph, 68, was also ordered to pay more than $4.8 million in restitution for fraudulent insurance claims made after his wife was fatally shot in Zambia in 2016, federal prosecutors said.","A wealthy dentist who was found guilty of fatally shooting his wife on a hunting trip in Zambia in 2016 has been sentenced to life in prison for murder, the Justice Department said on Monday.",2023-08-22T02:37:08+0000,article,U.S.,News,Dentist Sentenced to Life for Murdering His Wife on Hunting Trip,"Murders, Attempted Murders and Homicides;Frauds and Swindling;Rudolph, Bianca (d 2016);Rudolph, Lawrence;Kafue National Park (Zambia)"
