,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,"The authorities said the suspect had serious psychiatric disorders and told the police he was upset over the deaths of Muslims around the world, including in Gaza.","A German tourist was killed and several other people were injured in central Paris late Saturday after a man attacked them with a knife and a hammer, the French authorities said. The case stirred fears of renewed Islamist terrorist attacks in a nation already on edge.",2023-12-03T00:49:44+0000,article,World,News,Deadly Paris Knife Attack Revives Terrorism Concerns,"Paris (France);Murders, Attempted Murders and Homicides;Terrorism;Gaza Strip;Muslims and Islam;Israel-Gaza War (2023- );France;Israel"
1,Dr Pepper awarded each of the contestants in the college football halftime challenge the grand prize after a review found a counting error.,The Big 12 Championship game between the Texas Longhorns and the Oklahoma State Cowboys on Saturday delivered the kind of controversy-mired barn burner that inspires legions of college football fans to pack stadiums and jam sports bars every weekend.,2023-12-03T01:23:44+0000,article,Sports,News,"Dr Pepper Awards Two $100,000 Scholarships to Correct Halftime Blunder",Contests and Prizes;Colleges and Universities;Football (College);Scholarships and Fellowships;Dr Pepper Snapple Group Inc
2,"The Florida governor said his tour of all the state’s counties was evidence of his commitment to Iowa voters, even as he remained far behind Donald Trump in state polls.","Ron DeSantis took the stage in Jasper County in Iowa on Saturday, heralding his appearance as the culmination of his tour of the state’s 99 counties, and hoping to inject enthusiasm into his well-funded but struggling presidential campaign.",2023-12-03T01:35:33+0000,article,U.S.,News,"DeSantis Finishes His Iowa 99, Hoping for a Bump Against Trump","DeSantis, Ron;Iowa;Republican Party;Presidential Election of 2024;Vander Plaats, Bob;Reynolds, Kimberly (1959- )"
3,"Indicted over a plot to overturn an election and campaigning on promises to shatter democratic norms in a second term, Donald Trump wants voters to see Joe Biden as the bigger threat.","Former President Donald J. Trump, who has been charged by federal prosecutors with conspiracy to defraud the United States in connection with a plot to overturn the 2020 election, repeatedly claimed to supporters in Iowa on Saturday that it was President Biden who posed a severe threat to American democracy.",2023-12-03T02:00:43+0000,article,U.S.,News,Trump’s Defense to Charge That He’s Anti-Democratic? Accuse Biden of It,"Presidential Election of 2024;Primaries and Caucuses;Federal Criminal Case Against Trump (2020 Election Case);Democracy (Theory and Philosophy);Trump, Donald J;Biden, Joseph R Jr;Iowa"
4,The firing of the new chief executive creates more uncertainty at the well-funded group that has played a key role in the Florida governor’s effort to win the Republican primary.,"The super PAC supporting Gov. Ron DeSantis of Florida in his presidential campaign, which has seen a series of changes in the last month, went through another shake-up this week when it fired its new chief executive officer who had stepped in just nine days earlier, according to two people briefed on the matter.",2023-12-03T02:55:17+0000,article,U.S.,News,Upheaval Continues at DeSantis Super PAC as Another Top Official Departs,"Presidential Election of 2024;DeSantis, Ron;Never Back Down Inc;Republican Party;Appointments and Executive Changes;Political Action Committees"
5,"The blast, which was claimed by the Islamic State, occurred in a restive area in the south that was the site of a devastating battle with an ISIS affiliate six years ago.","At least four people were killed and dozens of others injured on Sunday in an explosion at a Roman Catholic Mass inside a university gymnasium in the southern Philippine city of Marawi, officials said.",2023-12-03T03:54:40+0000,article,World,News,Explosion at Catholic Mass in Philippines Kills at Least 4 and Injures Dozens,"Marawi (Philippines);Terrorism;Murders, Attempted Murders and Homicides;Islamic State in Iraq and Syria (ISIS);Maute Group"
6,"Corrections that appeared in print on Sunday, Dec. 3, 2023.","An article last weekend in which a writer details his experience arriving in New York City as one of 140,000 Jewish refugees who fled postwar Europe misstated the number of days that asylum seekers must wait before applying for a work permit. It is 150 days, not 180, though a permit will not be granted before 180 days after an asylum seeker has arrived. The article also misidentified the U.S.S. General A.W. Greely. It was a Navy vessel when the author and his family arrived in New York City on March 3, 1950, not a merchant marine vessel.",2023-12-03T05:50:42+0000,article,Corrections,News,"Corrections: Dec. 3, 2023",
7,"Quotation of the Day for Sunday, December 3, 2023.","“I had no role models, and then comes this woman, Sandra Day O’Connor, who says, ‘I can make decisions and I can think independently.’”",2023-12-03T05:50:51+0000,article,Corrections,News,"Quotation of the Day: Generation of Women Inspired by O’Connor, in Courtroom and Out",
8,To live through a nightmare and to witness others living through theirs are two very different things.,"I was sitting in my apartment in Beirut on the evening of Oct. 13 when I read that journalists had been struck by a missile attack in southern Lebanon. My close friend, Issam Abdallah, was working in the area as a cameraman for Reuters to cover the border clashes between Israel and Hezbollah after the war in Gaza began just days earlier. I called him immediately. It was a ritual we had developed over the years: Whether we were on the front lines in Ukraine or Syria, each of us knew to expect a call from the other anytime a disaster struck.",2023-12-03T06:00:10+0000,article,Opinion,Op-Ed,Over 60 Journalists Have Been Killed in the Israel-Gaza War. My Friend Was One.,"Israel-Gaza War (2023- );News and News Media;Israel;Deaths (Fatalities);Hezbollah;Terrorism;Defense and Military Forces;Committee to Protect Journalists;Reporters Without Borders;Targeted Killings;Human Rights and Human Rights Violations;Gaza Strip;Politics and Government;Abu Akleh, Shireen;Abdallah, Issam (Journalist)"
9,Heavy snow in Southern Germany on Saturday prompted authorities to shut the airport and rail station. Service at both remained limited on Sunday.,The airport in Munich resumed limited operations Sunday morning after being closed for nearly a day because of record snowfall that disrupted transportation across the region.,2023-12-03T06:11:56+0000,article,World,News,Munich Airport Resumes Operations After Major Snowfall,Weather;Snow and Snowstorms;Munich (Germany);Germany;Bavaria (Germany);Airports;Railroads
10,“S.N.L.” and Bowen Yang took a parting jab at Santos the day after he was expelled from Congress. Emma Stone was the host.,"Christmas won’t arrive for three more weeks but “Saturday Night Live” got an early present: When Congress voted on Friday to expel Representative George Santos, it was a bow-tied comedy gift that “S.N.L.” wasted no time unwrapping in this weekend’s broadcast.",2023-12-03T07:28:41+0000,article,Arts,News,‘Saturday Night Live’ Says Goodbye to George Santos,"Television;Saturday Night Live (TV Program);Stone, Emma"
11,In case you need some puzzle help.,"Welcome to The Wordle Review. Be warned: This page contains spoilers for today’s puzzle. Solve Wordle first, or scroll at your own risk.",2023-12-03T08:00:02+0000,article,Crosswords & Games,News,Today’s Wordle Review,Wordle (Puzzle)
12,Feeling stuck on today’s puzzle? We can help.,"Hi busy bees! Welcome to today’s Spelling Bee forum. There are a number of terms that appear in both this article and other online discussions of the Spelling Bee; a glossary of those terms compiled by Monicat, a Times reader, can be found below.",2023-12-03T08:00:04+0000,article,Crosswords & Games,News,Spelling Bee Forum,Spelling Bee (Game)
13,In case you need some puzzle help.,"Good morning, dear connectors. Welcome to today’s Connections forum, where you can give and receive puzzle — and emotional — support.",2023-12-03T08:00:15+0000,article,Crosswords & Games,News,The Connections Companion,Crossword Puzzles;Connections (Game)
14,"“American storms,” Davy Crockett and a mysterious man called Lightning Ellis: The story behind the word “blizzard” is no less opaque than the visibility during the storm itself.","Blizzards cause low visibility. And as it turns out, the history of the word “blizzard” is a bit blurry, too.",2023-12-03T08:00:25+0000,article,Times Insider,News,"A Word’s History, Obscured by Snow and Lore",Snow and Snowstorms;Weather;Cold and Cold Spells;News and News Media
15,"Dining out after a City Hall wedding, a walk in Carnegie Hill and more reader tales of New York City in this week’s Metropolitan Diary.",Dear Diary:,2023-12-03T08:00:30+0000,article,New York,News,‘There Was Only One Small Table That We Didn’t End Up Using’,New York City
16,"Venezuelan flags, foods and accents are spreading along a stretch of Roosevelt Avenue in Queens as thousands of newly arrived migrants make their home in the city.","Under an elevated subway track in Queens, Victor José Hernandez was whipping up the pepitos that he had perfected at a street cart in Caracas, Venezuela.",2023-12-03T08:00:33+0000,article,New York,News,Venezuelan Migrants Could Soon Create New York’s First ‘Little Caracas’,"Immigration and Emigration;VENEZUELAN-AMERICANS;Hispanic-Americans;Food Trucks and Vendors;Queens (NYC);Corona (Queens, NY);Elmhurst (Queens, NY);Jackson Heights (Queens, NY);Venezuela"
17,"Times reporters on assignment in Michoacán, Mexico, found a drastically altered landscape and dangers to those who protest deforestation.","In October, the Times journalists Simon Romero and Emiliano Rodríguez Mega were in the Mexican state of Michoacán, traveling across volcanic plateaus that are known for their towering pine and oak forests.",2023-12-03T08:00:33+0000,article,Times Insider,News,Where Avocados Grow and the People Speak Carefully,Forests and Forestry;Avocados;Conservation of Resources;Mexico;Michoacan (Mexico)
18,Liberal-leaning professors are leaving coveted jobs with tenure. And there are signs that recruiting scholars has become harder.,"Gov. Ron DeSantis had just taken office in 2019 when the University of Florida lured Neil H. Buchanan, a prominent economist and tax law scholar, from George Washington University.",2023-12-03T10:00:56+0000,article,U.S.,News,"In Florida’s Hot Political Climate, Some Faculty Have Had Enough","Florida;DeSantis, Ron;Colleges and Universities;Politics and Government;Law and Legislation;Hiring and Promotion;Discrimination;Diversity Initiatives;Transgender;Gender;Homosexuality and Bisexuality;ACADEMIC FREEDOM;Florida State University;University of Florida;University of North Florida;University of South Florida;audio-neutral-informative"
19,The people who were most afraid of the risks of artificial intelligence decided they should be the ones to build it. Then distrust fueled a spiraling competition.,"Elon Musk celebrated his 44th birthday in July 2015 at a three-day party thrown by his wife at a California wine country resort dotted with cabins. It was family and friends only, with children racing around the upscale property in Napa Valley.",2023-12-03T10:00:56+0000,article,Technology,News,"Ego, Fear and Money: How the A.I. Fuse Was Lit","Artificial Intelligence;Musk, Elon;Page, Larry;Google Inc;OpenAI Labs;Altman, Samuel H;ChatGPT;DeepMind Technologies Ltd;Anthropic AI LLC;Start-ups;Baidu Inc;Computers and the Internet;Microsoft Corp;Amodei, Dario;Brockman, Greg;Dean, Jeff (1968- );Eustace, Alan;Gates, Bill;Hassabis, Demis;Hinton, Geoffrey E;LeCun, Yann;Nadella, Satya;Suleyman, Mustafa;Zuckerberg, Mark E;Lake Tahoe (Nev);Meta;Venture Capital;Research;Mergers, Acquisitions and Divestitures"
20,A specialist who teaches classes in fan making talks about her introduction to the accessory and the skills involved in making them.,"Tucked inside two early Georgian townhouses in the Greenwich area of London, the Fan Museum opened in 1991 “to promote awareness and appreciation of the diverse history, culture and artistry of fans and fan making,” according to its website.",2023-12-03T10:01:00+0000,article,Arts,News,A Bit of a Flutter About Fans,Fans (Airflow);Accessories (Apparel);Fashion and Apparel;Fan Museum;London (England);your-feed-fashion
21,"Mississippi has long had high childhood immunization rates, but a federal judge has ordered the state to allow parents to opt out on religious grounds.","For more than 40 years, Mississippi had one of the strictest school vaccination requirements in the nation, and its high childhood immunization rates have been a source of pride. But in July, the state began excusing children from vaccination if their parents cited religious objections, after a federal judge sided with a “medical freedom” group.",2023-12-03T10:01:00+0000,article,U.S.,News,‘Medical Freedom’ Activists Take Aim at New Target: Childhood Vaccine Mandates,"Vaccination and Immunization;Religion-State Relations;Freedom of Religion;Mississippi;Children and Childhood;Education (K-12);Coronavirus (2019-nCoV);Informed Consent Action Network;Bigtree, Del;Fitch, Lynn (1961- );Ozerden, Halil Suleyman;Decisions and Verdicts;Suits and Litigation (Civil);United States Politics and Government;States (US);audio-neutral-informative"
