,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,The new chairman of the Senate Foreign Relations Committee could force the Biden administration to reverse its decision to send Egypt $235 million in military assistance.,"Senator Ben Cardin of Maryland, the new chairman of the Senate Foreign Relations Committee, pledged on Saturday to block the release of $235 million in military aid to Egypt, a move that could force the Biden administration to reverse its decision to prioritize national security interests over Congress’s concerns about the country’s human rights record.",2023-10-01T00:06:00+0000,article,U.S.,News,Senate Democrat Threatens to Block More of Military Aid to Egypt,"Egypt;Human Rights and Human Rights Violations;Political Prisoners;Foreign Aid;United States Politics and Government;United States International Relations;Senate Committee on Foreign Relations;Biden, Joseph R Jr;Cardin, Benjamin L;State Department"
1,The Senate overwhelmingly passed a bill to fund the federal government through mid-November. See how each senator voted.,The Senate overwhelmingly passed a bill to fund the federal government through mid-November. See how each senator voted.,2023-10-01T00:06:25+0000,multimedia,U.S.,Interactive Feature,How Each Member Voted on the Senate Stopgap Spending Measure,Shutdowns (Institutional);Senate;Federal Budget (US)
2,"In much of Europe, the election in Slovakia was seen as a bellwether of mainstream support for Ukraine in its war with Russia. But voters seemed most concerned with pocketbook issues.","A Russia-friendly populist party finished first in a crowded field on Sunday in Slovakia’s parliamentary elections, a vote that many in Europe have seen as a bellwether of support for the war in Ukraine.",2023-10-01T00:18:47+0000,article,World,News,What Does a Russia-Leaning Party Win in an E.U. Nation Mean for Ukraine?,"Slovakia;Politics and Government;Elections;Fico, Robert;Bratislava (Slovakia);International Relations;Russia;Ukraine;Russian Invasion of Ukraine (2022);Simecka, Michal (1984- )"
3,"Gideon Cody, who orchestrated a widely criticized raid on The Marion County Record, was suspended indefinitely, a city official said on Saturday.","The police chief of Marion, Kansas, was suspended on Thursday, more than a month after he ordered raids on the office of a local newspaper and the home of its publisher in an act rarely seen in American journalism, one that was widely condemned by news organizations as a violation of the First Amendment.",2023-10-01T00:47:45+0000,article,U.S.,News,Police Chief Who Ordered Raid on Kansas Newspaper Is Suspended,Newspapers;Marion County Record (Newspaper);Search and Seizure;Marion (Kan);Police;Records and Achievements;Freedom of the Press
4,"The assistant general manager of the Calgary Flames, he was given a year to live in 2019. He and his wife used the time to document life with the disease.","Chris Snow, the assistant general manager of the Calgary Flames of the National Hockey League, who, after being diagnosed in 2019 with amyotrophic lateral sclerosis, became a prominent advocate for victims of the disease, died on Saturday in Calgary, Alberta. He was 42.",2023-10-01T01:38:51+0000,article,Sports,Obituary (Obit),"Chris Snow, Hockey Executive Who Publicly Faced A.L.S., Dies at 42","Snow, Chris;Deaths (Obituaries);Hockey, Ice;Calgary Flames;National Hockey League;Amyotrophic Lateral Sclerosis"
5,The move marks a loss for the state labor federation and disappointed union leaders who had hoped to capitalize on a wave of high-profile strikes in the state.,"Gov. Gavin Newsom of California vetoed legislation on Saturday that would have allowed workers to collect unemployment pay while on strike, disappointing union leaders who had hoped to capitalize on a wave of high-profile walkouts during the state’s “hot labor summer” this year.",2023-10-01T02:33:32+0000,article,U.S.,News,Newsom Vetoes Bill Allowing Workers to Collect Unemployment Pay While Striking,"California;Newsom, Gavin;Politics and Government;Law and Legislation;Vetoes (US);Organized Labor;Strikes;Unemployment Insurance"
6,"No corrections appeared in print on Sunday, Oct. 1, 2023.","Errors are corrected during the press run whenever possible, so some errors noted here may not have appeared in all editions.",2023-10-01T04:02:54+0000,article,Corrections,News,"No Corrections: Oct. 1, 2023",
7,"Quotation of the Day for Sunday, Oct. 1, 2023.","“She was part of that era when the focus was on legislating, policy and getting things done. I think maybe that has died with her.”",2023-10-01T04:04:09+0000,article,Corrections,Quote,"Quotation of the Day: Through Triumph and Tragedy, Feinstein Helped Shape San Francisco",
8,"The former governor of South Carolina, who was ambassador to the United Nations under Donald Trump, now needs to appeal to early state voters.","About 15 minutes after Nikki Haley took the stage at a town hall in a Des Moines suburb on Saturday, the former governor of South Carolina and ambassador to the United Nations, was heckled — twice — by men demanding to know her views on Taylor Swift.",2023-10-01T04:19:50+0000,article,U.S.,News,"Nikki Haley Won the Debate Stage. Now, She’s Trying to Win Over Iowa.","Haley, Nikki R;Iowa;Presidential Election of 2024;Republican Party"
9,Feeling stuck on today’s puzzle? We can help.,"SUNDAY — Hi busy bees! Welcome to today’s Spelling Bee forum. There are a number of terms that appear in both this article and other online discussions of the Spelling Bee; a glossary of those terms compiled by Monicat, a Times reader, can be found below. For more Spelling Bee conversation, check out Deb Amlen’s weekly humor column, “Diary of a Spelling Bee Fanatic.”",2023-10-01T07:00:09+0000,article,Crosswords & Games,News,Spelling Bee Forum,Spelling Bee (Game)
