,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,"After almost being canceled because of financial constraints, about 15,000 people and more than 600 pups turned out for the annual parade on Saturday — nearly doubling last year’s attendance.","Despite the gray skies and light drizzle, costumed dogs strutted along for the Tompkins Square Halloween Dog Parade on Saturday as they have for more than three decades. But for the first time since the event’s inception, they had an official parade route.",2023-10-22T00:47:50+0000,article,New York,News,Tompkins Square Dog Parade Draws Thousands After Near-Cancellation,"Halloween;Dogs;Parades;Costumes;Pets;East Village (Manhattan, NY);Tompkins Square Park (Manhattan, NY)"
1,"Quotation of the Day for Sunday, October 22, 2023.",“There’s this growing sentiment that Native Hawaiians are actually really sick and tired of listening to stories about the banyan tree.”,2023-10-22T04:39:00+0000,article,Corrections,Quote,"Quotation of the Day: For the Future of Maui, Native Hawaiians Push for Honoring Its Past",
2,"Corrections that appeared in print on Sunday, Oct. 22, 2023.","An article last Sunday about a global fertilizer shortage referred incorrectly to a fertilizer ingredient that moved from Canada to Nigeria for much of last year and cost $1,350 a ton. It is potash, not phosphate.",2023-10-22T04:43:39+0000,article,Corrections,News,"Corrections: Oct. 22, 2023",
3,Bad Bunny was the host and musical guest in an episode that included cameos from Jagger and Pedro Pascal.,"The chaos surrounding efforts to choose a new speaker of the House may be less than ideal for the nation, but it’s practically a gift to “Saturday Night Live,” which satirized House Republicans’ political turmoil in an opening sketch this weekend.",2023-10-22T06:37:47+0000,article,Arts,News,‘S.N.L’ Welcomes Bad Bunny and Mick Jagger,"Television;Saturday Night Live (TV Program);Bad Bunny (Singer);Jagger, Mick"
4,Drug companies are making billions from a new class of in-demand weight-loss treatments. But the prices are not what they seem.,The problem is daunting: Powerful but expensive new drugs could help many of the 100 million American adults who have obesity and alleviate a grave public health concern.,2023-10-22T07:00:20+0000,article,Health,News,Ozempic and Wegovy Don’t Cost What You Think They Do,"Semaglutide (Drug);Ozempic (Drug);Drugs (Pharmaceuticals);Prices (Fares, Fees and Rates);Obesity;Health Insurance and Managed Care;Eli Lilly and Company;Novo Nordisk A/S;American Enterprise Institute for Public Policy Research"
5,"In a biweekly column for Real Estate, Julie Lasky and Tim McKeough dispense advice and profile people making the most of homes short on one key feature: square footage.","It was a sunny September morning when Julie Lasky, a contributor to The New York Times’s Real Estate section, was scoping out dog owners on a street in Harlem.",2023-10-22T07:00:28+0000,article,Times Insider,News,"Stories on Living Small, at Large",Sustainable Living;Dogs;Real Estate and Housing (Residential);New York City
6,"Workplace shows, a hit genre of the streaming era, are homing in on a knotty question: Do you have to sacrifice personal happiness to excel at your job?","On a recent episode of Apple TV+’s “The Morning Show,” the television host Alex Levy is conducting a live television interview with a therapist when things take a turn toward the personal.",2023-10-22T07:00:28+0000,article,Style,News,"Hulu, HBO and Apple TV+ Know What You’re Going Through at Work",Television;Work-Life Balance;Workplace Environment;The Morning Show (TV Program);Severance (TV Program);The Bear (TV Program);The Other Black Girl (TV Program)
7,"Residents of Pozoblanco and 22 other villages in the country’s south have had to get their drinking water from tankers since April, when the reservoir serving the area dried up.","It was 10 a.m. when the villagers, clutching empty plastic containers, lined up behind the tanker truck of drinking water. A cake shop owner arrived with four big jugs for his pastries. Workers from a retirement home carried two dozen bottles back on wheelchairs for their wards. And a mother of four loaded her trunk with fresh water to wash vegetables and cook pasta.",2023-10-22T07:00:34+0000,article,World,News,"A Glimpse Into Spain’s Future, Where Water Comes by Truck, Not Tap",Water;Water Pollution;Shortages;Reservoirs;Drought;Global Warming;Agriculture and Farming;Livestock;Andalusia (Spain);Spain
8,Feeling stuck on today’s puzzle? We can help.,"SUNDAY — Hi busy bees! Welcome to today’s Spelling Bee forum. There are a number of terms that appear in both this article and other online discussions of the Spelling Bee; a glossary of those terms compiled by Monicat, a Times reader, can be found below.",2023-10-22T07:00:37+0000,article,Crosswords & Games,News,Spelling Bee Forum,Spelling Bee (Game)
9,In case you need some puzzle help.,"Good morning, dear connectors. Welcome to today’s Connections Companion, where you can give and receive puzzle — and emotional — support.",2023-10-22T07:00:40+0000,article,Crosswords & Games,News,The Connections Companion,Crossword Puzzles;Connections (Game)
10,In case you need some puzzle help.,"Welcome to The Wordle Review. Be warned: This page contains spoilers for today’s puzzle. Solve Wordle first, or scroll at your own risk.",2023-10-22T07:00:44+0000,article,Crosswords & Games,News,Today’s Wordle Review,Wordle (Puzzle)
11,"An encounter with André Watts, a holiday invitation from a cabby and more reader tales of New York City in this week’s Metropolitan Diary.",Dear Diary:,2023-10-22T07:00:47+0000,article,New York,News,"‘While He Waited, He Turned His Gaze in Our Direction’",New York City
