,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,"Speaking in Conway, S.C., Donald J. Trump said as president he had told NATO allies that he would urge Russian aggression against countries that had not met unofficial financial commitments.","Former President Donald J. Trump said on Saturday that, while president, he told the leaders of NATO countries that he would “encourage” Russia “to do whatever the hell they want” to countries that had not paid the money they owed to the military alliance.",2024-02-11T00:26:40+0000,article,U.S.,News,Trump Says He Gave NATO Allies Warning: Pay In or He’d Urge Russian Aggression,"Trump, Donald J;North Atlantic Treaty Organization;Defense and Military Forces;United States International Relations;Presidential Election of 2024;United States Politics and Government;Putin, Vladimir V;Russia;Europe"
1,Here’s a look at celebrations around the world.,Here’s a look at celebrations around the world.,2024-02-11T00:57:50+0000,multimedia,World,Interactive Feature,The Year of the Dragon Roars In,Lunar New Year;Bangkok (Thailand);China
2,"Representative Mike Gallagher of Wisconsin, once seen as a rising star, made the announcement just days after voting against impeaching the homeland security secretary.","Representative Mike Gallagher, Republican of Wisconsin, announced on Saturday that he would not run for re-election, just days after breaking with his party to cast a decisive vote against impeachment charges for Alejandro N. Mayorkas, the homeland security secretary.",2024-02-11T02:42:01+0000,article,U.S.,News,Congressman Who Broke With G.O.P. on Mayorkas Vote Will Not Seek Re-election,"United States Politics and Government;Impeachment;Cyberwarfare and Defense;House of Representatives;Republican Party;Mayorkas, Alejandro;Gallagher, Mike (1984- );Homeland Security Department"
3,A campaign to make the country an explicitly Hindu nation has had a chilling effect on left-leaning and secular institutions like Jawaharlal Nehru University.,"Jawaharlal Nehru University, named for India’s first prime minister, is one of the country’s premier liberal institutions, a hothouse of strong opinions and left-leaning values whose graduates populate the upper echelons of academia and government.",2024-02-11T03:09:14+0000,article,World,News,‘It Is Suffocating’: A Top Liberal University Is Under Attack in India,"Colleges and Universities;Hinduism;Politics and Government;Demonstrations, Protests and Riots;Nationalism (Theory and Philosophy);Jawaharlal Nehru University;Bharatiya Janata Party;Rashtriya Swayamsevak Sangh (India);Modi, Narendra;India"
4,"Quotation of the Day for Sunday, February 11, 2024.","“We’re not New York or Chicago, but we’re getting there. We’re showing people that we have cool stuff going on here.”",2024-02-11T04:44:14+0000,article,Corrections,Quote,Quotation of the Day: An Old Cowtown Fancies Its Time in the Limelight,
5,"Corrections that appeared in print on Sunday, Feb. 11, 2024.","An article on Feb. 4 about the founding of Israel incorrectly identified Jorge Garcia Granados. He was the Guatemalan ambassador to the United Nations, not the foreign minister of Guatemala.",2024-02-11T04:44:26+0000,article,Corrections,News,"Corrections: Feb. 11, 2024",
6,"Israel has asked the military to come up with plans to evacuate Gazans, but it isn’t clear where they are supposed to go or when Israel’s ground invasion might begin.","Petrified Gazans in the cramped southern border city of Rafah scrambled to evade bombardment on Saturday as they prepared to flee an expected Israeli ground offensive, dreading the prospect of again searching for safety in a place with few, if any, options to escape the war.",2024-02-11T04:56:16+0000,article,World,News,Terrified Gazans Await an Israeli Advance in the City They Fled To,Israel-Gaza War (2023- );Israel;Defense and Military Forces;Rafah (Gaza Strip);Palestinians;Civilian Casualties;Refugees and Displaced Persons;Evacuations and Evacuees;Gaza Strip;Hamas;Egypt
7,"At a time of turmoil for Britain’s royal family, an exhibition at Windsor Castle provides an insight into the lives of an earlier king and queen.","The silver crown is set with diamonds. Rubies, sapphires, emeralds and seed pearls are peppered through the design. And the red velvet cap inside would be fit to cushion the head of a monarch.",2024-02-11T05:01:23+0000,article,World,News,‘Feel a Bit Like Gulliver’: Peek Inside a 100-Year-Old Royal Dolls’ House,"Dollhouses;Royal Families;Mary, Queen of England;Royal Collection Trust;George V, King of Great Britain;Great Britain;England;Lutyens, Edwin;Palaces and Castles;ARCHITECTURE"
8,The election of the center-right politician fills a role that is responsible for foreign policy in an era of rising wariness of neighboring Russia.,"Finns elected the center-right politician Alexander Stubb as their new president on Sunday, in the first national election since the country joined NATO, filling a post that will be critical to shaping Finland’s role in the alliance at a time of increasingly fraught relations with Russia.",2024-02-11T05:01:24+0000,article,World,News,Finland Elects Alexander Stubb President as It Ushers in NATO Era,"International Relations;Politics and Government;Elections;United States International Relations;Defense and Military Forces;Russian Invasion of Ukraine (2022);Haavisto, Pekka;Niinisto, Sauli;European Union;North Atlantic Treaty Organization;Finland;Russia;Putin, Vladimir V;Ukraine;Europe"
9,"A potential expansion of the nation’s military draft to replenish the exhausted, battered army has become an emotional, politically charged issue.","Soldiers fight in freezing, muddy trenches bombarded by artillery, or in warrens of burned and blown-up houses in urban combat. Casualty rates are high, and dangerous missions, like storming enemy-held tree lines, abound.",2024-02-11T05:01:24+0000,article,World,News,"Short on Soldiers, Ukraine Debates How to Find the Next Wave of Troops","Russian Invasion of Ukraine (2022);Draft and Recruitment (Military);Zelensky, Volodymyr;Syrsky, Oleksandr;Zaluzhny, Valery;Europe;Ukraine;Defense and Military Forces;Kyiv (Ukraine);Russia"
10,"After four losses, this is the first guild victory for the “Oppenheimer” director. Winners there have won the Academy Award 18 of the last 20 times.","The Directors Guild of America on Saturday night handed its top prize for feature-film directing to Christopher Nolan for his hit biopic, “Oppenheimer,” starring Cillian Murphy as the physicist who helped design the atomic bomb. This is the latest major trophy Nolan’s film has won, after taking top honors from the Golden Globes and Critics Choice Awards last month.",2024-02-11T07:00:50+0000,article,Movies,News,"Christopher Nolan Wins DGA Award, Putting Him on Track for the Oscar","Academy Awards (Oscars);Movies;Directors Guild of America;Nolan, Christopher;Oppenheimer (Movie)"
