,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,"Mel Tucker, the head coach, was given notice of his termination on Monday, after allegations of misconduct against a sexual harassment educator.","Michigan State University said it would fire its head football coach, Mel Tucker, amid an investigation into allegations that he sexually harassed a woman who visited the school to educate its football team about sexual misconduct. The school had already suspended him earlier this month.",2023-09-19T00:54:57+0000,article,U.S.,News,Michigan State Seeks to Fire Football Coach Amid Sexual Harassment Case,"Football (College);Coaches and Managers;Sexual Harassment;Workplace Hazards and Violations;Michigan State University;Tucker, Mel"
1,The 50 places in the United States that we’re most excited about right now.,The 50 places in the United States that we’re most excited about right now.,2023-09-19T01:14:48+0000,multimedia,Food,Interactive Feature,The Restaurant List 2023,vis-design;Restaurants;United States;New York Times;internal-sub-only-except-search
2,For Marcos Cux — and thousands of other migrant children — working dangerous jobs that violate child-labor laws is the only American dream there is.,"Late on a Thursday in February 2022, Marcos Cux, who had just turned 14, bundled up in green rubberized overalls and a matching jacket that was too big for his slight shoulders. He packed a pair of steel-toed rubber boots and two layers of gloves, because even a small tear could lead to a chemical burn. As others in the house slept, a cousin drove him to his cleaning shift at the chicken slaughterhouse, a half-mile-long industrial complex on a stretch of bare highway in rural Virginia, set behind hedges and a tall metal fence. ",2023-09-19T01:40:48+0000,article,Magazine,News,The Kids on the Night Shift,internal-sub-only;internal-great-read;Child Labor;Workplace Hazards and Violations;Illegal Immigration;Immigration and Emigration;Meatpacking Plants and Slaughterhouses;Factory Farming;Poultry;Perdue Farms Inc;Tyson Foods Inc;Accomack County (Va);Virginia;Guatemala
3,Gia Bosko’s puzzle is more than the sum of its parts.,Jump to: Today’s Theme | Tricky Clues,2023-09-19T02:00:12+0000,article,Crosswords & Games,News,Symbol of Royalty,Crossword Puzzles
4,New genetic research confirms the oral history of a small group of nomadic people living in Indonesia’s rainforest.,"The Punan people of the island of Borneo were once rumored to have tails, so elusive did they seem to their neighbors in the 19th century. Unlike the Indigenous farmers, who lived in long houses, the Punan roamed the island’s northern rainforest in family groups, hunting bearded pigs, harvesting starchy plants and gathering forest products for trade.",2023-09-19T04:00:50+0000,article,Science,News,"A Vanishing Nomadic Clan, With a Songlike Language All Their Own","your-feed-photojournalism;audio-neutral-immersive;your-feed-science;Archaeology and Anthropology;Language and Languages;Nomadic People;Indigenous People;Forests and Forestry;Genetics and Heredity;Borneo (Indonesia);Borneo;Lansing, Stephen (1950- )"
5,António Guterres told world leaders gathered in New York that their efforts to address the climate crisis had come up “abysmally short.”,"The world’s top diplomat, António Guterres, the United Nations secretary general, on Tuesday told world leaders their efforts to address the climate crisis had come up “abysmally short” and called on them to do what even climate-ambitious countries have been reluctant to do: stop expanding coal, oil and gas production.",2023-09-19T04:01:11+0000,article,Climate,News,U.N. Chief’s Test: Shaming Without Naming the World’s Climate Delinquents,"Global Warming;Greenhouse Gas Emissions;International Relations;Politics and Government;Pollution;General Assembly (UN);United Nations;Guterres, Antonio;Oil (Petroleum) and Gasoline;Corporate Social Responsibility;United Nations Framework Convention on Climate Change;Coal"
6,"In a speech to the United Nations, President Biden is expected to promote his administration’s achievements around the globe even as he confronts challenges at home.","President Biden will attempt on Tuesday to focus global attention on the need to protect and nurture democracies, calling for the world to continue backing Ukraine and urging advanced nations to do more to bolster economies in the developing world.",2023-09-19T04:01:12+0000,article,U.S.,News,Biden to Urge Nations to Protect and Nurture Democracy,"Biden, Joseph R Jr;General Assembly (UN);United States International Relations;United States Politics and Government;Developing Countries;Russian Invasion of Ukraine (2022);Democracy (Theory and Philosophy)"
7,"Many U.S. studios’ blockbusters are filmed in Britain, so the walkouts by actors and screenwriters have caused thousands of U.K. film crews to lose work.","What do “Barbie,” “Mission: Impossible — Dead Reckoning” and “Indiana Jones and the Dial of Destiny” have in common? Besides being the summer’s big-budget movies, they were made in Britain, filmed in part at some of the country’s most esteemed studios.",2023-09-19T04:01:18+0000,article,Business Day,News,Hollywood Strikes Send a Chill Through Britain’s Film Industry,Movies;Actors and Actresses;Strikes;Organized Labor;Layoffs and Job Reductions;Labor and Jobs;SAG-AFTRA;Great Britain
8,"It was just a single moment in a war that at times feels endless, but an image of Ukrainian soldiers firing upon an unseen enemy captures the dangers of the front line.","“Today, the situation is very bad.”",2023-09-19T04:01:25+0000,article,World,News,Load. Fire. Get to Cover.,Russian Invasion of Ukraine (2022);Russia;Ukraine;vis-photo
9,"An expert is dubious that there are more sharks in the waters off New York. And when incidents do occur, sharks don’t deliberately sink their teeth in, she said.","Good morning. It’s Tuesday. We’ll see whether there are more sharks in the waters off New York, or whether it only seems so. And we’ll find out about the city comptroller’s audit of a $432 million no-bid contract with a scandal-plagued migrant services firm.",2023-09-19T04:03:05+0000,article,New York,briefing,Don’t Call Them Shark Bites,"New York City;internal-storyline-no;Fish and Other Marine Life;Sharks;Government Contracts and Procurement;DocGo Inc;Rockaway Beach (Queens, NY);Accidents and Safety"
10,"Corrections that appeared in print on Tuesday, Sept. 19, 2023.","A map with an article on Friday about the energy executive Sultan al-Jaber omitted borders for Armenia, Azerbaijan and Georgia.",2023-09-19T04:20:23+0000,article,Corrections,Correction,"Corrections: Sept. 19, 2023",
11,Robert J. Costello’s law firm is seeking to recover more than $1.3 million. He trained under Mr. Giuliani and was his loyal defender.,"Rudolph W. Giuliani, already under criminal indictment and at risk of losing his law license for his effort to keep Donald J. Trump in office after the 2020 election, is now being sued by his own lawyer.",2023-09-19T04:22:32+0000,article,New York,News,Giuliani Sued Over Unpaid Legal Fees by Lawyer Who Led His Defense,"Federal Criminal Case Against Trump (2020 Election Case);Georgia Criminal Case Against Trump (2020 Election);Suits and Litigation (Civil);Legal Profession;Davidoff Hutcher & Citron LLP;Giuliani, Rudolph W;Costello, Robert J;Trump, Donald J"
12,Colorful displays from the aurora borealis were visible in parts of the U.S. and Canada on Monday night.,Colorful displays from the aurora borealis were visible in parts of the U.S. and Canada on Monday night.,2023-09-19T04:26:46+0000,multimedia,Science,Video,Northern Lights Shine Over U.S. and Canada,Aurora Borealis;United States;Midwestern States (US);Canada
13,Changes in the Ukrainian defense ministry.,"Ukraine dismissed all six of its deputy defense ministers yesterday, deepening the housecleaning at a ministry that had drawn criticism for corruption in procurement, as the military budget ballooned during the war. The government did not give a reason for the changes.",2023-09-19T04:39:51+0000,article,Briefing,briefing,Tuesday Briefing,
