,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,"That position, he said, reflected in part “a false confidence that our community was above this, and that we could be in full control, among many other misjudgments.”","Representative Jared Golden of Maine, a centrist Democrat, called for a ban on assault weapons Thursday afternoon, reversing a long-held stance after 18 people were killed in a mass shooting in Lewiston.",2023-10-27T00:05:11+0000,article,U.S.,News,"Representative Jared Golden of Maine calls for a ban on assault weapons, reversing a long-held stance.","Lewiston, Maine, Shootings (2023);Gun Control;Golden, Jared;Collins, Susan M"
1,"Christopher Haynes was taken to George Washington University Hospital, on Sept. 6 after he complained of an injury. He assaulted an officer and fled, the police said.","The authorities on Thursday recaptured a murder suspect who the police say escaped from a Washington, D.C., hospital nearly two months ago by assaulting an officer and fleeing, with a handcuff dangling from one arm.",2023-10-27T00:06:39+0000,article,U.S.,News,Murder Suspect Who Escaped From Police at D.C. Hospital Is Recaptured,"Fugitives;Murders, Attempted Murders and Homicides;Haynes, Christopher (August 12, 2023 Murder);Washington (DC);OXON HILL (MD);George Washington University;Attacks on Police"
2,"Mr. Elder, a Los Angeles Republican who bills himself as “the sage from South Central,” endorsed Donald Trump.","Larry Elder, a conservative talk radio host from California whose run for the Republican presidential nomination never gained traction, ended his campaign on Thursday and endorsed Donald J. Trump, the front-runner in the crowded field.",2023-10-27T00:09:04+0000,article,U.S.,News,Larry Elder Ends Long-Shot Presidential Bid,"Elder, Larry (1952- );Trump, Donald J;Republican Party;Presidential Election of 2024;Endorsements;United States Politics and Government"
3,"Mr. Li, who retired in March, was muscled out of the premier’s usual policymaking roles by Mr. Xi. Chinese citizens expressed shock at his death, from a heart attack.","Li Keqiang, China’s former premier, who came to power promising to improve the lot of private companies and restrain the reach of the state but was overshadowed by the hard-line top leader, Xi Jinping, died early Friday. He was 68.",2023-10-27T00:34:42+0000,article,World,Obituary (Obit),"Li Keqiang, Chinese Premier Eclipsed by Xi Jinping, Dies at 68",Li Keqiang;Deaths (Obituaries);China;Politics and Government;Economic Conditions and Trends;International Relations;Communist Party of China;Xi Jinping
4,"Businesses, schools and offices in the southern part of the state were closed on Thursday as the authorities sought a 40-year-old suspect.","The familiar rituals of a Wednesday night were playing out at Just-In-Time Recreation, a bowling alley in Lewiston, Maine, with 22 lanes of tenpin and a restaurant serving nachos and wings.",2023-10-27T01:34:30+0000,article,U.S.,News,‘Dark Day for Maine’ After Gunman Kills 18 at Bowling Alley and Bar,"Lewiston, Maine, Shootings (2023);Just-In-Time Recreation LLC;Lewiston (Me);Card, Robert R"
5,Adrian Johnson opens our solving weekend.,Jump to: Tricky Clues,2023-10-27T02:00:08+0000,article,Crosswords & Games,News,Ain’t Gonna,Crossword Puzzles;Games
6,Daniel Raymon’s latest puzzle puts us through our cryptic paces.,"PUNS AND ANAGRAMS — Daniel Raymon is one of a handful of constructors who make cryptic crosswords, puns and anagrams, and daily grids for The New York Times. Each type of puzzle has its own rules and a different reputation for its difficulty. This variety puzzle, which is nicknamed the “PandA,” borrows wordplay-filled clues from the cryptic — a glossary is invaluable, until you’ve learned the styles by heart — and grid geometry from the regular crossword, which means that every square has two entries running through it. Those traits combine to make a merry jumble of tricks that should all be solvable because of those crossing letters, as well as the presence of anagrams. A flexible mind also helps a great deal.",2023-10-27T02:02:03+0000,article,Crosswords & Games,News,Variety: Puns and Anagrams,"Puzzles;Raymon, Daniel (Crossword Constructor)"
7,The Minnesota lawmaker is going up against an incumbent president who has significant financial advantages.,"Representative Dean Phillips, a moderate Minnesota Democrat who has for months publicly argued that President Biden should not run for re-election, announced his candidacy for president on Thursday, setting up an underdog challenge for the Democratic nomination.",2023-10-27T02:08:36+0000,article,U.S.,News,Dean Phillips Announces Long-Shot Challenge to Biden in Democratic Primary,"Presidential Election of 2024;United States Politics and Government;Primaries and Caucuses;Democratic National Committee;Biden, Joseph R Jr;Phillips, Dean B"
8,The Pentagon said the airstrikes against facilities used by the Islamic Revolutionary Guards Corps and its proxies were in retaliation for recent rocket and drone attacks on American forces.,The United States carried out two airstrikes against facilities used by Iran’s Islamic Revolutionary Guards Corps and its proxies in eastern Syria early Friday in retaliation for a flurry of recent rocket and drone attacks against American forces in Iraq and Syria.,2023-10-27T02:19:32+0000,article,U.S.,News,U.S. Strikes Iranian-Linked Targets in Syria,"United States International Relations;Terrorism;Drones (Pilotless Planes);Israel-Gaza War (2023- );United States Defense and Military Forces;Military Bases and Installations;Traumatic Brain Injury;Austin, Lloyd J III;Biden, Joseph R Jr;Iran;Iraq;Syria;Erbil (Iraq)"
9,David Velasco was removed after the magazine’s publishers said there was a flawed editorial process behind the publication of a letter that supported Palestinian liberation.,One of the art world’s top magazine editors was fired Thursday night after the publishers of Artforum said that the staff’s decision to post an open letter about the Israel-Hamas war failed to meet the organization’s standards.,2023-10-27T03:00:54+0000,article,Arts,News,Artforum Fires Top Editor After Its Open Letter on Israel-Hamas War,"Israel-Gaza War (2023- );Art;Magazines;Artforum;Appointments and Executive Changes;Palestinians;Velasco, David"
