,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,"In-match coaching has always happened on the sly, but this year is the first time the Australian Open has allowed players to be coached from the stands.","MELBOURNE, Australia — It has been an Australian Open full of progress and positive energy for Dean Goldfine, the traveling coach of the fast-rising American Ben Shelton, a surprise quarterfinalist in his first trip abroad.",2023-01-29T00:55:26+0000,article,Sports,News,The Quiet Coaching Revolution in Tennis That Can Feel Like ‘Cheating’,"Tennis;Coaches and Managers;Australian Open (Tennis);Officiating (Sports);Tennis Australia Ltd;Goldfine, Dean;Shelton, Ben (2002- );Djokovic, Novak;Tsitsipas, Stefanos;Rybakina, Elena;Hawk-Eye Innovations Ltd"
1,"The man accused of assaulting the husband of former House Speaker Nancy Pelosi made a disturbing surprise phone call to the station on Friday, the same day footage of the attack was made public.","The man accused in the attack of Paul Pelosi, the husband of the former House Speaker Nancy Pelosi, made a disturbing surprise phone call to a California television station on Friday and said that he had no remorse about his actions last October. He suggested that he regretted not causing more harm.",2023-01-29T01:03:39+0000,article,U.S.,News,Paul Pelosi Attack Suspect Tells TV Station He Has No Remorse,"Assaults;Republican Party;KTVU-TV;Depape, David;Pelosi, Nancy;Pelosi, Paul;San Francisco (Calif);United States Politics and Government"
2,"Tyre Nichols, a 29-year-old Memphis father, became the latest Black man to join a horrific line of abuse in the city. ","MEMPHIS — On April 3, 1968, shortly before the Rev. Dr. Martin Luther King Jr. would deliver what turned out to be his last speech, “I’ve Been to the Mountaintop,” at a Memphis church packed with striking sanitation workers, the Rev. James M. Lawson Jr., a local minister and national strategist of nonviolent direct action, stepped up to the church’s pulpit. A colleague and friend of Dr. King, Mr. Lawson spoke passionately to the crowd about a teenager named Larry Payne. A few days before, a Memphis police officer had shot and killed Mr. Payne in a doorway outside the housing project where he lived, unbeknown to his mother, who was at home in their apartment less than a hundred yards away.",2023-01-29T01:16:03+0000,article,Opinion,Op-Ed,Violent History Echoes in the Killing of Tyre Nichols,"Police Brutality, Misconduct and Shootings;Black People;Blacks;Murders, Attempted Murders and Homicides;Nichols, Tyre (d 2023);Memphis (Tenn);United States"
3,"The crash happened in Louisville, a town close to the Canadian border. Three others were injured.","Six people were killed on Saturday following a collision between a truck and a bus on a highway in upstate New York close to the Canadian border, state police officials and local media said.",2023-01-29T01:49:31+0000,article,New York,News,Six Dead After Rental Truck and Bus Collide in Upstate New York,Traffic Accidents and Safety;Deaths (Fatalities);Roads and Traffic;Police
4,The Buffalo Bills defensive back said he was thankful that his near-death medical emergency had provided him with an opportunity to give back.,"Damar Hamlin, the Buffalo Bills defensive back who went into cardiac arrest during a “Monday Night Football” game on Jan. 2 and narrowly avoided death thanks to a swift medical response, spoke publicly for the first time since his on-field collapse shocked millions of viewers.",2023-01-29T02:39:17+0000,article,Sports,News,Damar Hamlin Speaks in a Video for the First Time Since His Collapse,"Hamlin, Damar (1998- );Sports Injuries;Buffalo Bills;National Football League"
5,"The government did not say who was behind the attempted attack, but some Telegram channels affiliated with Iran’s Revolutionary Guards pointed the finger at Israel.",Iran’s Defense Ministry said that it had thwarted an attack Saturday on one of its munition centers in the central city of Isfahan by shooting down three drones.,2023-01-29T03:46:39+0000,article,World,News,Iran Says It Thwarted a Drone Attack on a Munitions Facility,Drones (Pilotless Planes);Cyberwarfare and Defense;Defense and Military Forces;Islamic Revolutionary Guards Corps;Hezbollah;Telegram LLC;Isfahan (Iran);Iran
6,"Quotation of the Day for Sunday, January 29, 2023.","“If you don’t share information, public imagination will take on its own element and you’ll be dealing with the wrath of that.”",2023-01-29T05:31:50+0000,article,Corrections,Quote,"Quotation of the Day: For Police, Body Cameras Break Old Code of Silence",
7,"Corrections that appeared in print on Sunday, Jan. 29, 2023.","The On the Market feature last Sunday misstated the address of a listing in Pelham Manor, N.Y. It is 429 Pelham Manor Road, not 29 Pelham Manor Road.",2023-01-29T05:32:56+0000,article,Corrections,News,"Corrections: Jan. 29, 2023",
8,Michael B. Jordan hosted an episode that was saved by a couple of commercial parodies.,"Classified documents are all the rage these days: They’re turning up in the homes of President Joe Biden, former President Donald Trump and former Vice President Mike Pence, and on “Saturday Night Live,” which used these recent discoveries as grist for its opening sketch.",2023-01-29T07:03:38+0000,article,Arts,News,‘S.N.L.’ Spoofs Merrick Garland’s Hunt for Classified Documents,"Television;Saturday Night Live (TV Program);Comedy and Humor;Jordan, Michael B;Lil Baby (Rapper)"
9,Feeling stuck on today’s puzzle? We can help.,"SUNDAY — Hi busy bees! Welcome to today’s Spelling Bee forum. There are a number of terms that appear in both this article and other online discussions of the Spelling Bee; a glossary of those terms compiled by Monicat, a Times reader, can be found below. For more Spelling Bee conversation, check out Deb Amlen’s weekly humor column, “Diary of a Spelling Bee Fanatic.”",2023-01-29T08:00:04+0000,article,Crosswords & Games,News,Spelling Bee Forum,Spelling Bee (Game)
10,"Wandering near Wall Street, a memorable spill on the F and more reader tales of New York City in this week’s Metropolitan Diary.",Dear Diary:,2023-01-29T08:00:05+0000,article,New York,News,‘I Ordered a Sandwich and Began Chatting With the Proprietor’,
11,Gov. Kathy Hochul promised to end the era where state workers could “click through” an ethics class. But the state has failed to implement live training.,"ALBANY, N.Y. — On her first day as governor of New York, Kathy Hochul vowed to overhaul policies on ethics and sexual harassment in the government workplace.",2023-01-29T08:00:07+0000,article,New York,News,Hochul’s Vow to Boost Ethics and Sexual Harassment Training Falls Flat,"New York State;Hochul, Kathleen C;Ethics and Official Misconduct;Sexual Harassment;Workplace Hazards and Violations;Government Employees;Politics and Government"
12,"Many of the legal arguments seeking to overturn abortion bans rely on rights provided by the states, and how they are interpreted by state supreme courts.","When the Supreme Court overturned Roe v. Wade and the constitutional right to abortion in June, it declared that it was sending the issue back to the “people and their elected representatives.” But the fight has largely moved to a different set of supreme courts and constitutions: those in the states.",2023-01-29T08:00:11+0000,article,U.S.,News,A Volatile Tool Emerges in the Abortion Battle: State Constitutions,Abortion;States (US);Law and Legislation;State Legislatures;Supreme Courts (State);Constitutions;Roe v Wade (Supreme Court Decision);Health Insurance and Managed Care;Privacy
