,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,Many civilians in Rafah are sheltering in rickety tents made of plastic and wood and say there is nowhere left in Gaza to avoid Israeli shelling.,"Prime Minister Benjamin Netanyahu has ordered the Israeli military to draw up plans to evacuate Rafah, a Gazan city packed with more than a million people, in advance of an expected ground offensive that has set off international alarm.",2024-02-10T00:00:51+0000,article,World,News,Netanyahu Orders Evacuation Plan for City Where a Million Gazans Shelter,"Israel-Gaza War (2023- );Israel;Defense and Military Forces;Gaza Strip;Rafah (Gaza Strip);Palestinians;Civilian Casualties;Refugees and Displaced Persons;Evacuations and Evacuees;International Relations;Netanyahu, Benjamin;Egypt;Biden, Joseph R Jr;United States International Relations"
1,"Hundreds gathered in a Greenwich Village church to pay their respects to the transgender activist Cecilia Gentili, who died this week at 52.","The strumming of a Spanish guitar and the voices of Eydie Gormé and Los Panchos echoed throughout the hall as “Sabor a Mí” played on a loudspeaker. Hundreds of mourners made their way into Judson Memorial Church, near Washington Square Park in Manhattan.",2024-02-10T00:00:52+0000,article,Style,News,A ‘Mother’ Is Mourned by the Queer New Yorkers She Left Behind,"Gentili, Cecilia (1972-2024);Homosexuality and Bisexuality;Transgender;Funerals and Memorials;Judson Memorial Church"
2,"The $95 billion package appeared on track for eventual passage, but Republicans who killed a bipartisan version were still trying to make changes.",The long-stalled emergency national security package to send aid to Ukraine and Israel is back on track in the Senate and headed toward passage within days — but not before Republican senators try to take a few partisan shots at the legislation.,2024-02-10T00:02:42+0000,article,U.S.,News,Senators Work Into Weekend on Ukraine and Israel Bill as G.O.P. Slows Progress,United States Politics and Government;Law and Legislation;Foreign Aid;Immigration and Emigration;Senate;Republican Party;Russian Invasion of Ukraine (2022);Russia;Ukraine
3,"Israel’s creditworthiness remains high, but the rating agency noted that the outlook for the country was negative considering the risks from the continued conflict.","Moody’s on Friday became the first major rating agency to downgrade Israel’s creditworthiness, citing the prolonged war with Hamas and the toll it is taking on the country’s finances.",2024-02-10T00:07:41+0000,article,World,News,"Moody’s Downgrades Israel’s Credit Rating, Citing Toll of War","Moody's Investors Service Inc;Israel;Israel-Gaza War (2023- );Stocks and Bonds;Government Bonds;Netanyahu, Benjamin;Hamas"
4,The message came as congressional lawmakers were working on a package with billions in assistance but an uncertain fate.,"President Biden and Chancellor Olaf Scholz of Germany used a meeting at the Oval Office on Friday to pressure Congress to pass billions more in aid for Ukraine, as legislative dysfunction and opposition among some Republicans have left the critical package in limbo.",2024-02-10T00:34:07+0000,article,U.S.,News,Biden and German Leader Meet at White House and Push for Ukraine Aid,"United States Politics and Government;Senate;Republican Party;United States International Relations;Russian Invasion of Ukraine (2022);Defense and Military Forces;Germany;Russia;Ukraine;Scholz, Olaf (1958- );Biden, Joseph R Jr"
5,"A federal investigator said that President Biden had “poor memory” and “diminished faculties.” But such a diagnosis would require close medical assessment, experts said.",A lengthy report by the Department of Justice on President Biden’s handling of classified documents contained some astonishing assessments of his well-being and mental health.,2024-02-10T00:40:42+0000,article,Health,News,"Memory Loss Requires Careful Diagnosis, Scientists Say","Memory;Classified Information and State Secrets;United States Politics and Government;Dementia;Justice Department;Biden, Joseph R Jr;Hur, Robert Kyoung;United States"
6,"The teenager, Jesus Alejandro Rivas Figueroa, is accused of firing at a security guard and instead hitting a woman from Brazil.","A 15-year-old boy was arrested on Friday, accused of shooting a Brazilian tourist in Times Square the night before and then firing twice at a police officer while fleeing the scene, officials said.",2024-02-10T00:56:47+0000,article,New York,News,15-Year-Old Is Arrested in Shooting of a Tourist in Times Square,"Assaults;Police;Crime and Criminals;Shoplifting and Employee Theft (Retail);Robberies and Thefts;Guardian Angels;Police Department (NYC);Bragg, Alvin;Sliwa, Curtis;Times Square and 42nd Street (Manhattan, NY);internal-storyline-no"
7,"A lawyer for the co-defendant said she had a witness who could testify that the relationship began before Fani Willis, the Fulton County district attorney, hired Nathan Wade.",A lawyer for one of former President Donald J. Trump’s co-defendants in the Georgia election case suggested on Friday that the two prosecutors leading the case had lied about when their romantic relationship started.,2024-02-10T01:07:23+0000,article,U.S.,News,Trump Co-Defendant Suggests Georgia Prosecutors Lied About Relationship Timing,"Georgia Criminal Case Against Trump (2020 Election);Willis, Fani T;Wade, Nathan J;Roman, Mike (1972- );Trump, Donald J;Legal Profession;Special Prosecutors (Independent Counsel);Fulton County (Ga)"
8,"Growing a spice once worth its weight in gold, a tiny isle in Indonesia was so coveted that the Dutch traded Manhattan for it. Some 350 years later, life on the two islands couldn’t be more different.","The isles of Manhattan and Pulau Rhun could hardly be farther apart, not just in geography, but also in culture, economy and global prominence.",2024-02-10T01:57:20+0000,article,World,News,"Manhattan or Pulau Rhun? In 1667, Nutmeg Made the Choice a No-Brainer.","Indonesia;Banda Islands (Indonesia);Nutmeg;Spices;Colonization;War Crimes, Genocide and Crimes Against Humanity;International Relations;International Trade and World Market"
9,"The authorities said on Friday that they believed they had recovered the remains of six family members, including the person believed to have shot a young niece and two police officers.","The remains of six family members have been recovered from a burned home in southeastern Pennsylvania, including those of a man who is believed to have shot two police officers on Wednesday, the authorities said on Friday.",2024-02-10T02:17:00+0000,article,U.S.,News,6 Bodies Found at Burned Pennsylvania House Where 2 Officers Were Shot,Fires and Firefighters;Attacks on Police;Deaths (Fatalities);Pennsylvania
