,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,"As much as 15 percent in unemployment benefits paid during the pandemic could have been fraudulently obtained, according to a Government Accountability Office report.","More generous unemployment benefits doled out during the pandemic appear to have been a magnet for fraud, according to a government watchdog report released on Tuesday.",2023-09-13T00:00:16+0000,article,U.S.,News,Pandemic Fraud May Have Robbed Unemployment Insurance of $135 Billion,"Unemployment Insurance;Frauds and Swindling;Coronavirus (2019-nCoV);Government Accountability Office;United States Economy;Coronavirus Aid, Relief, and Economic Security Act (2020)"
1,"The actor and TV host’s decision to return her talk show to the air, bypassing striking writers, made her a magnet for criticism, online and off.","Drew Barrymore has been dropped as the host of the National Book Awards, the foundation that presents the prizes said Tuesday, after the actress received a barrage of criticism for deciding to bring back her daytime talk show despite the strike by television writers.",2023-09-13T00:00:36+0000,article,Arts,News,Drew Barrymore Dropped as National Book Awards Host After Strike Backlash,"Barrymore, Drew;National Book Awards;Writers Guild of America;Organized Labor;Television;Writing and Writers;National Book Foundation;Books and Literature;The Drew Barrymore Show (TV Program)"
2,Republicans are complaining about a key step toward completing a deal that will give Tehran access to $6 billion for humanitarian purposes.,The State Department on Tuesday defended its progress toward completing a prisoner deal with Iran under which the United States is freeing $6 billion in frozen Iranian funds for humanitarian purposes in exchange for the release of five Americans held in Tehran.,2023-09-13T00:51:33+0000,article,U.S.,News,State Dept. Defends Limited Release of Iranian Funds for Prisoners,"Iran;Assets, Frozen;Embargoes and Sanctions;State Department;United States International Relations;Political Prisoners;Oil (Petroleum) and Gasoline;Biden, Joseph R Jr;Raisi, Ebrahim"
3,"A bar in Wisconsin, where Aaron Rodgers played for years, offered free drinks if the New York Jets lost on Monday. But after a surprising comeback, patrons were left to pay their tabs.","No matter how good a bet may sound, remember: The house always wins.",2023-09-13T01:11:03+0000,article,Sports,News,Fans Bet Their Bar Tabs on the Jets Losing. It Wasn’t a Safe Bet.,"Football;Trades (Sports);Fans (Persons);Green Bay Packers;New York Jets;Milwaukee (Wis);Wisconsin;Rodgers, Aaron"
4,"Illness is no metaphor, and neither is pleasure, in Annie Baker’s weird and great new play set at a fasting clinic.","A woman collapsed in a chaise longue on a brick and breeze-block patio is trying to read George Eliot’s “Daniel Deronda.” Over several days, various acquaintances also taking the sun will ask her what the book is about, a question she finds hard to answer as she keeps getting stuck on page 152. Still, she calls the novel “very weird and great.”",2023-09-13T01:30:15+0000,article,Theater,Review,‘Infinite Life’ Review: Is There a Cure for Pain and Desire?,"Theater;Theater (Off Broadway);Infinite Life (Play);Atlantic Theater Co;Baker, Annie;Macdonald, James (Theater Director)"
5,Guilherme Gilioli hides the right answers in plain sight.,Jump to: Today’s Theme | Tricky Clues,2023-09-13T02:00:07+0000,article,Crosswords & Games,News,Boom Times,Crossword Puzzles
6,"Quotation of the Day for Wednesday, September 13, 2023.",“I went expecting misery. But I found Moroccan solidarity.”,2023-09-13T02:38:30+0000,article,Corrections,News,"Quotation of the Day: Even in Remote Areas, Civilians Lead Rescue in Wake of Earthquake",
7,"Corrections that appeared in print on Wednesday, Sept. 13, 2023.","An article on Tuesday about the late arrival of rescuers for some Moroccan earthquake victims transposed the given and family names of a village resident. He is Omar Ouchahed, not Ouchahed Omar.",2023-09-13T02:43:08+0000,article,Corrections,Correction,"Corrections: Sept. 13, 2023",
8,"Thomas Sobocinski, an F.B.I. agent, told House investigators that the prosecutor overseeing the investigation into the president’s son never said he did not have full authority to pursue charges.","A high-ranking F.B.I. agent has provided testimony to the House Judiciary Committee that contradicts a key claim made by an I.R.S. agent who said that political interference had hampered the investigation into the taxes of Hunter Biden, the president’s son, dealing a blow to House Republicans’ wide-ranging inquiry into the Biden administration.",2023-09-13T02:52:26+0000,article,U.S.,News,F.B.I. Agent Undercuts Claims of Political Interference in Hunter Biden Inquiry,"Biden, Hunter;Biden, Joseph R Jr;Tax Evasion;Ethics and Official Misconduct;Sobocinski, Thomas;Shapley, Gary;Weiss, David C (1956- );Republican Party;House Committee on the Judiciary;Federal Bureau of Investigation;Justice Department;United States Politics and Government"
9,Representative George Santos denied any “negotiation” with prosecutors over the charges facing him.,"In the months since Representative George Santos’s series of lies and exaggerations were exposed, he has adopted a defiant stance toward reporters, accusing the news media of leading a biased crusade against him.",2023-09-13T03:36:15+0000,article,New York,News,"Santos, on CNN, Clashes With Interviewer and Strikes Fighting Pose","Santos, George (1988- );News and News Media;CNN;Ethics and Official Misconduct;House of Representatives;Justice Department;McCarthy, Kevin (1965- );Brazil;Impeachment"
