,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,"The criminal inquiry into Donald Trump’s efforts to reverse the outcome of the 2020 election appears to be accelerating, but prosecutors are said to be a long way from making any decisions.","WASHINGTON — From outside the walls of the Justice Department, the sprawling investigation into efforts to reverse the outcome of the 2020 election seems only to be accelerating, with prosecutors last week subpoenaing about 40 associates of former President Donald J. Trump and seizing phones from at least two of his aides.",2022-09-14T00:02:06+0000,article,U.S.,News,"After a Wave of Subpoenas, Notes of Caution About the Jan. 6 Investigation","United States Politics and Government;Presidential Election of 2020;Storming of the US Capitol (Jan, 2021);Classified Information and State Secrets;Justice Department;Federal Bureau of Investigation;Mar-a-Lago (Palm Beach, Fla);National Archives and Records Administration"
1,"Representative Mary Peltola, a Democrat, became the first Alaska Native to serve in Congress and the first woman to represent her state in the House.","Representative Mary Peltola, a Democrat, became the first Alaska Native to serve in Congress and the first woman to represent her state in the House.",2022-09-14T00:03:37+0000,multimedia,U.S.,Video,Mary Peltola Is Sworn In as a Congresswoman,"Alaska Natives;Peltola, Mary;ALASKA;House of Representatives;Democratic Party;United States Politics and Government;Women and Girls"
2,Jaz Brisack said her employer had refused to accommodate her scheduling requests. Starbucks said it sought to balance requests against business needs.,A Starbucks employee in Buffalo who has helped lead the union campaign at the coffee chain over the past year has accused the company of forcing her out in retaliation for her organizing efforts.,2022-09-14T00:10:06+0000,article,Business Day,News,Starbucks Union Leader Says Company Forced Her Out,"Organized Labor;Starbucks Corporation;Starbucks Workers United;Brisack, Jaz;National Labor Relations Board;Workplace Hazards and Violations;Coffeehouses;Buffalo (NY);Working Hours"
3,"Jason Schofield, a Republican in Rensselaer County, was accused of unlawfully requesting absentee ballots in the 2021 local election.","ALBANY, N.Y. — A Rensselaer County elections official was arraigned on Tuesday, accused by federal authorities of fraudulently obtaining absentee ballots last year, using personal information of voters without their consent.",2022-09-14T00:14:01+0000,article,New York,News,N.Y. Elections Commissioner Charged in Absentee Ballot Scheme,"Schofield, Jason;Voter Fraud (Election Fraud);Absentee Voting;Computer Security;Rensselaer County (NY);New York State"
4,The president and the first lady arrived in Delaware shortly before polls closed to cast their votes in Tuesday’s primary election.,"WASHINGTON — On Tuesday evening, President Biden voted. The process involved a hasty announcement to the press, multiple motorcades and two jet flights.",2022-09-14T00:20:29+0000,article,U.S.,News,Biden Flies Home to Wilmington to Vote in Delaware Primary,"United States Politics and Government;Biden, Joseph R Jr;Biden, Jill Tracy Jacobs;Wilmington (Del);Primaries and Caucuses;Voting and Voters;Presidents and Presidency (US);Delaware"
5,See full results and maps from the New Hampshire primary elections.,See full results and maps from the New Hampshire primary elections.,2022-09-14T00:21:42+0000,multimedia,U.S.,,New Hampshire Governor Primary Election Results,"Midterm Elections (2022);Elections;Primaries and Caucuses;New Hampshire;Elections, Governors"
6,See full results and maps from the New Hampshire primary elections.,See full results and maps from the New Hampshire primary elections.,2022-09-14T00:21:43+0000,multimedia,U.S.,,New Hampshire U.S. Senate Primary Election Results,"Midterm Elections (2022);Elections;Primaries and Caucuses;New Hampshire;Elections, Senate"
7,See full results and maps from the Delaware primary elections.,See full results and maps from the Delaware primary elections.,2022-09-14T00:21:44+0000,multimedia,U.S.,,Delaware State Auditor Primary Election Results,Midterm Elections (2022);Elections;Primaries and Caucuses;Delaware
8,See full results and maps from the Delaware primary elections.,See full results and maps from the Delaware primary elections.,2022-09-14T00:21:48+0000,multimedia,U.S.,,Delaware Primary Election Results,"Midterm Elections (2022);Elections;Primaries and Caucuses;Delaware;Elections, State Legislature"
9,"In November, Mr. Magaziner will face Allan Fung, the former mayor of Cranston, R.I., in what could be one of the most competitive House races in New England.","Seth Magaziner, the general treasurer of Rhode Island, won a crowded Democratic congressional primary in the state on Tuesday, according to The Associated Press, and is now headed into what could be one of the most competitive general elections on New England’s House map.",2022-09-14T00:32:19+0000,article,U.S.,News,"Seth Magaziner, the Rhode Island treasurer, wins a Democratic House primary in the state.","Midterm Elections (2022);Elections, House of Representatives;Primaries and Caucuses;Democratic Party;Morgenthau, Sarah"
