,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,Jarrod Powell pleaded guilty to attacking Yao Pan Ma on an East Harlem street because the victim was of Asian descent.,"A man who admitted to brutally, and fatally, attacking a 61-year-old immigrant in East Harlem two years ago because the victim was Asian was sentenced to 22 years in prison on Friday.",2023-04-01T00:45:07+0000,article,New York,News,22-Year Sentence for Man Guilty in Hate-Crime Killing of Asian Immigrant,"Murders, Attempted Murders and Homicides;Hate Crimes;Asian-Americans;Ma, Yao Pan (d 2021);Powell, Jarrod (April 23, 2021 Assault);East Harlem (Manhattan, NY)"
1,Angel Reese had 24 points and 12 rebounds as the Tigers took control of the game in the last period.,"Louisiana State is heading to its first championship game in program history after a rousing fourth quarter rally against top-seeded Virginia Tech, 79-72.",2023-04-01T01:24:20+0000,article,Sports,News,L.S.U. Rallies Against Virginia Tech to Make N.C.A.A. Championship Game,"Basketball (College);NCAA Basketball Championships (Women);Louisiana State University;Virginia Polytechnic Institute and State University;Mulkey, Kim;Reese, Angel (2002- )"
2,"The man was shot dead early Saturday at the edge of the Aqsa Mosque compound, known to Jews as the Temple Mount. The circumstances of the killing were disputed and risked raising tensions during Ramadan.","JERUSALEM — The Israeli police shot dead an Arab man early Saturday in disputed circumstances in front of an entrance to the most prominent holy site in Jerusalem, in an episode that risked escalating tensions in the city at an already volatile time.",2023-04-01T01:42:57+0000,article,World,News,Israeli Police Fatally Shoot Arab in Scuffle at Holy Site in Jerusalem,Al Aqsa Mosque (Jerusalem);Temple Mount (Jerusalem);Police;Deaths (Fatalities);Jews and Judaism;Palestinians;Muslims and Islam
3,"A year ago, the investigation into the former president appeared from the outside to be over. But a series of crucial turning points led to this week’s indictment.","One year ago this week, the Manhattan district attorney’s investigation into Donald J. Trump appeared to be dead in the water.",2023-04-01T01:58:46+0000,article,New York,News,How Alvin Bragg Resurrected the Case Against Donald Trump,"New York State Criminal Case Against Trump (71543-23);Trump, Donald J;Clifford, Stephanie (1979- );Cohen, Michael D (1966- );Campaign Finance;Frauds and Swindling;Presidential Election of 2016;Bragg, Alvin;District Attorneys;Trump Organization;Manhattan (NYC)"
4,"This Saturday collaboration between Wyna Liu and Joel Fagliano looks hard, but it really just looks hard.","SATURDAY PUZZLE — If a puzzle like this one makes you wonder who makes the rules around here, well, Wyna Liu and Joel Fagliano make up at least 20 percent of The New York Times’s crossword nerve center. Individually, they’re constructors of wide repute, but this is their first collaboration; they had tried before, apparently, but their schedules never lined up. To work around that, they agreed to split things up in an interesting way: Ms. Liu composed an entire clue set, Mr. Fagliano constructed a grid full of peppy entries, and then a neutral party reconciled the two halves.",2023-04-01T02:00:05+0000,article,Crosswords & Games,News,Cry Heard on April Fools’ Day,"Crossword Puzzles;Fagliano, Joel (Crossword Constructor);Liu, Wyna (Crossword Constructor);APRIL FOOL'S DAY"
5,Judge Thomas L. Parker agreed to delay the implementation of a law limiting drag performance in Tennessee for at least 14 days.,Judge Thomas L. Parker agreed to delay the implementation of a law limiting drag performance in Tennessee for at least 14 days.,2023-04-01T02:29:25+0000,multimedia,U.S.,Interactive Feature,Read the judge’s order,
6,"A federal judge put a hold on the law hours before it was to take effect, saying there were legitimate questions about whether it violated the First Amendment.","NASHVILLE — A federal judge on Friday temporarily blocked the implementation of a Tennessee law aimed at restricting public drag performances, hours before it was set to go into effect.",2023-04-01T03:15:06+0000,article,U.S.,News,Judge Temporarily Blocks Tennessee Law That Restricts Drag Performances,Drag (Performance);Tennessee;Law and Legislation
7,"Quotation of the Day for Saturday, April 1, 2023.",“There was a war going on. Who had time for inmates?”,2023-04-01T03:44:22+0000,article,Corrections,Quote,Quotation of the Day: The 5-Nation Odyssey of Ukrainian Criminals,
8,"The Gamecocks were considered a heavy favorite to repeat as champions. But Clark and the Hawkeyes delivered, all the way to the championship game against Louisiana State.",Many thought that South Carolina winning the national championship this year was a forgone conclusion. Louisiana State’s coach Kim Mulkey told reporters after L.S.U.’s round-of-8 win that South Carolina was “going to be there” in the championship game.,2023-04-01T03:50:34+0000,article,Sports,News,Caitlin Clark and Iowa Deliver Toppling Upset of South Carolina in Final Four,"Basketball (College);NCAA Basketball Championships (Women);University of Iowa;University of South Carolina;Clark, Caitlin (2002- );Boston, Aliyah (2001- )"
9,"Florida Atlantic has seemingly come out of nowhere to make a deep run in the men’s N.C.A.A. tournament. The university’s ambitions are relatively young, too.","HOUSTON — David Vanterpool has played professional basketball in Italy, China, and Russia and coached in the N.B.A., yet even he was surprised on his first visit to Florida Atlantic University.",2023-04-01T04:01:08+0000,article,Sports,News,The Beach Boys Making a Final Four Run,"Basketball;NCAA Basketball Championships (Men);Basketball (College);Conference USA;Florida Atlantic University;Schnellenberger, Howard;Florida"
