,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,Residents who survived the Bronx inferno on Sunday described a quiet morning that suddenly was overtaken by terror and tragedy.,"It started as a lazy Sunday morning, cold and gray outside. Residents at the Twin Parks North West tower in the Bronx awoke to children and chores — and then the morning twisted in an instant into a blackening nightmare.",2022-01-10T00:13:46+0000,article,New York,News,‘We Were Just Trying to Breathe’: Frantic Rush to Escape the Smoke,Fires and Firefighters;Rescues;Bronx (NYC)
1,"Matthew Stafford’s late-game miscues sank the Rams against the 49ers, and the Colts laid an egg against the Jaguars, leaving the door open for the Steelers to sneak into the playoffs.","The Los Angeles Rams pushed the chips in on this season. That much was clear when the team traded for Matthew Stafford, just the sixth N.F.L. quarterback to throw for at least 40 touchdowns in multiple seasons, last January.",2022-01-10T00:14:23+0000,article,Sports,News,What We Learned From Week 18 in the N.F.L.,"Football;American Football Conference;Indianapolis Colts;Jacksonville Jaguars;Pittsburgh Steelers;Baltimore Ravens;National Football League;Ballard, Chris (1969- );Lawrence, Trevor (1999- );Leonard, Darius (1995- );Meyer, Urban;Taylor, Jonathan (1999- );Watt, T J (1994- );Wentz, Carson (1992- );Wilson, Damien (1993- )"
2,"Starting next year, 800,000 legal permanent residents will be eligible to vote in municipal elections.","Mayor Eric Adams, setting aside prior misgivings, allowed a bill to become law on Sunday that would grant more than 800,000 noncitizens the right to vote in municipal elections.",2022-01-10T00:16:24+0000,article,New York,News,Noncitizens’ Right to Vote Becomes Law in New York City,"New York City;Adams, Eric L;Voting Rights, Registration and Requirements;Immigration and Emigration;Dream Act (Development, Relief and Education for Minors Act);City Council (NYC);Rodriguez, Ydanis;Citizenship and Naturalization"
3,"The actor, who had also hosted “America’s Funniest Home Videos,” was found dead in an Orlando hotel room while on tour.","Bob Saget, the stand-up comic and actor who was known as Danny Tanner on the long-running sitcom “Full House,” as the host of “America’s Funniest Home Videos” and for his deadpan, ribald stage routines, was found dead on Sunday in Orlando, Fla. He was 65.",2022-01-10T01:30:29+0000,article,Arts,Obituary (Obit),"Bob Saget, Comic Who Starred in the Sitcom ‘Full House,’ Dies at 65","Deaths (Obituaries);Saget, Bob;Comedy and Humor;Television;Full House (TV Program);Actors and Actresses"
4,The 2022 list highlights places around the globe where travelers can be part of the solution.,The 2022 list highlights places around the globe where travelers can be part of the solution.,2022-01-10T01:45:20+0000,multimedia,Travel,Interactive Feature,52 Places for a Changed World,Travel and Vacations;Coronavirus Reopenings;Parks and Other Recreation Areas;Eco-Tourism;Sustainable Living;Greenhouse Gas Emissions;Endangered and Extinct Species;Ibera National Park (Argentina);Portugal;Bahama Islands;Turks and Caicos Islands;Greece;Maine;ALASKA;Cleveland (Ohio);Italy;Vietnam;South Africa;Slovenia;India;Newfoundland (Canada);San Francisco (Calif);Kyoto (Japan);Puerto Rico;Sierra Leone;Spain;Australia;Jordan;Netherlands;Denmark;Egypt;Chicago (Ill);Scotland;France;Colorado;Gambia;Sweden;Kansas;Greenland;Morocco;New Zealand;Vancouver Island (British Columbia);Belize;Sarasota (Fla);Vanuatu;California;Santa Cruz County (Calif);Brazil;Saguaro National Park (Ariz);Monaco;Milwaukee (Wis);Canada;Thaidene Nene National Park Reserve (Canada);Cerro Castillo National Park (Chile)
5,"The Republican congressman from Ohio, a close ally of former President Donald Trump’s, denounced the House investigation of the Capitol riot as one of the Democrats’ “partisan witch hunts.”","WASHINGTON — Representative Jim Jordan, Republican of Ohio, announced on Sunday that he was refusing to cooperate with the House select committee investigating the Jan. 6 attack on the Capitol, joining a growing list of allies of former President Donald J. Trump who have adopted a hostile stance toward the panel’s questions.",2022-01-10T02:10:33+0000,article,U.S.,News,Jim Jordan Refuses to Cooperate With Jan. 6 Panel,"Jordan, Jim (1964- );Storming of the US Capitol (Jan, 2021);House of Representatives;United States Politics and Government;Trump, Donald J;Presidential Election of 2020;Ohio"
6,"Nine children were among those who died when a space heater malfunctioned in a Bronx apartment building, city officials said.",Follow live coverage of the Bronx apartment fire. ,2022-01-10T02:33:50+0000,article,New York,News,19 Killed in New York City’s Deadliest Fire in Decades,Bronx (NYC);Fires and Firefighters;Deaths (Fatalities);Gambia
7,"Australian officials hinted they may make a new attempt to cancel Djokovic’s visa, even as the tennis champion, freed from detention, returned to the court.","SYDNEY, Australia — Novak Djokovic, the Serbian tennis star, moved one step closer to competing for his record 21st Grand Slam title after an Australian judge ordered his release from immigration detention on Monday, the latest turn in a five-day saga over his refusal to be vaccinated for Covid-19.",2022-01-10T02:40:45+0000,article,Sports,News,"Novak Djokovic Can Remain in Australia, Judge Rules","Djokovic, Novak;Australian Open (Tennis);Coronavirus (2019-nCoV);Vaccination and Immunization;Politics and Government;Tennis Australia Ltd;Tennis;Visas;Australia"
8,Many residents of the high-rise sought it out for its close-knit feel and proximity to area mosques.,The high-rise in the Bronx where 17 people died in a fire on Sunday was home to many African immigrants who chose their apartments for the close-knit community and proximity to local mosques.,2022-01-10T02:41:28+0000,article,New York,News,A large African community found a home in the Bronx apartment building.,Mosques;Deaths (Fatalities);Immigration and Emigration;Accidents and Safety;Gambia;AFRICA
9,This term has appeared in 16 articles on NYTimes.com in the past year. Can you use it in a sentence?,_________,2022-01-10T04:30:02+0000,article,The Learning Network,News,Word of the Day: lingua franca,
