,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,States can push hospitals to look at California’s model and other proven ways to reduce maternal mortality.,"Years ago, researchers discovered that American women were dying in childbirth at an alarming rate, far higher than in many other Western countries. Black women, they found, were dying at even more elevated rates. Data in hand, they called for change.",2023-09-12T00:07:48+0000,article,Opinion,Op-Ed,America Already Knows How to Make Childbirth Safer,Black People;Blacks;Maternal Mortality;Discrimination;Pregnancy and Childbirth;Centers for Disease Control and Prevention;California;United States;Women and Girls;Deaths (Fatalities);Law and Legislation;Midwives and Doulas
1,"Heading to Russia to meet with President Vladimir Putin, the North Korean leader chose to travel by rail, on a train with some unusual features.","When outside intelligence officials seek evidence of North Korea’s leader, Kim Jong-un, leaving on a trip abroad — like his journey to Russia this week to meet with President Vladimir V. Putin — they always look for the whereabouts of a train painted a drab green.",2023-09-12T00:19:08+0000,article,World,News,"Bulletproof, Slow and Full of Wine: Kim Jong-un’s Mystery Train","Railroads;Politics and Government;Kim Jong-un;Kim Jong Il;North Korea;International Relations;Russia;Putin, Vladimir V"
2,The university cited “unacceptable” legal liability under a new Missouri law.,"Washington University in St. Louis will stop prescribing gender medications to minors, the school said on Monday, citing “unacceptable” legal liability under a new Missouri law banning such treatments.",2023-09-12T00:32:13+0000,article,Health,News,Washington University Stops Offering Gender Medications to Minors,your-feed-health;your-feed-healthcare;Law and Legislation;Washington University;Transgender
3,"Aaron Rodgers’s Jets debut ended with his departure in the first quarter with an ankle injury. His teammates mustered three interceptions, a crucial touchdown catch and an overtime walk-off touchdown.","A half century of Jets dread and gloom was supposed to end Monday night against the Buffalo Bills amid the ceremonious debut of Aaron Rodgers, one of the most prolific passers of his generation. Instead, the Jets’ defense, young receivers and a castaway quarterback, with help from four turnovers from the Bills’ Josh Allen, fueled a 22-16 comeback, overtime win.",2023-09-12T00:58:43+0000,article,Sports,News,"After Rodgers’s Injury, the Rest of the Jets Rally to Beat the Bills","Football;Sports Injuries;Rodgers, Aaron;New York Jets;Buffalo Bills"
4,"Company websites were down, and some guests complained of problems with slot machines and hotel room access. Cybersecurity experts point to a likely cyberattack.","The casino and hotel chain MGM Resorts International said on Monday that a “cybersecurity issue” was affecting some of its online systems, causing disruptions for customers, particularly in Las Vegas, where cybersecurity experts said the company was likely the victim of a pervasive cyberattack.",2023-09-12T01:34:22+0000,article,U.S.,News,‘Cybersecurity Issue’ Forces Systems Shutdown at MGM Hotels and Casinos,Computer Security;Cyberattacks and Hackers;Casinos;Hotels and Travel Lodgings;MGM Resorts International;Las Vegas (Nev)
5,Ella Dershowitz has us swimming in circles.,Jump to: Today’s Theme | Tricky Clues,2023-09-12T02:00:06+0000,article,Crosswords & Games,News,Source of Waves in Space,Crossword Puzzles
6,"Quotation of the Day for Tuesday, September 12, 2023.",“The train has left the station. We’re all in. Stop talking. He’s not going anywhere. It’s time for all of us to get on the train and buck up.”,2023-09-12T02:27:48+0000,article,Corrections,Quote,Quotation of the Day: Newsom Urges Democrats to ‘Buck Up’ and Back Biden in 2024,
7,"Corrections that appeared in print on Tuesday, Sept. 12, 2023.","An article on Wednesday about Iranian American families’ views on education and financial success misstated the grandparent from whom the writer Jason Rezaian received financial support. It was his grandmother, not his grandfather.",2023-09-12T02:31:43+0000,article,Corrections,Correction,"Corrections: Sept. 12, 2023",
8,"After a panel of federal judges rejected the state’s proposed congressional district map, the state asked the Supreme Court to intervene.","Alabama filed an emergency application in the Supreme Court on Monday evening, asking the justices to keep in place for now a congressional map that a lower court had found failed to comply with orders to establish a second majority-Black district or something “close to it.”",2023-09-12T02:33:47+0000,article,U.S.,News,Alabama Asks Supreme Court to Revisit Dispute Over Congressional Map,"Alabama;Redistricting and Reapportionment;Suits and Litigation (Civil);Supreme Court (US);Voting Rights, Registration and Requirements;Voting Rights Act (1965);Black People;Blacks;Minorities;State Legislatures;Republican Party"
9,"The motions piggybacked off others filed by the former president’s co-defendants, one of which gave a detailed critique of the sprawling indictment.",Former President Donald J. Trump asked a judge on Monday to throw out most of the 13 charges against him in the wide-ranging election interference indictment handed up by a grand jury last month in Georgia.,2023-09-12T02:41:42+0000,article,U.S.,News,Trump Moves to Quash Most Charges Against Him in Georgia,"Georgia Criminal Case Against Trump (2020 Election);Presidential Election of 2020;Racketeering and Racketeers;Trump, Donald J;Smith, Ray III (Attorney);Georgia"
