,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,Hey! Teachers! Leave our ignorance alone!,"Ron DeSantis, who is currently governor of Florida and wants to become president, has been trying to position himself as America’s leading crusader against wokeness. And lately higher education has become his most visible target. He picked a very public fight with the College Board over its new advanced placement course in African American studies, and in the past few days has broadened that attack into a suggestion that Florida might stop offering A.P. classes in any field.",2023-02-17T00:00:07+0000,article,Opinion,Op-Ed,The Right Don’t Need No Education,"Colleges and Universities;Education (K-12);United States Politics and Government;Critical Race Theory;Liberalism (US Politics);Republican Party;DeSantis, Ron"
1,"Covid disrupted education, and now the task is to build something new.","“The coronavirus caused by far the biggest disruption in the history of American education,” Meira Levinson and Daniel Markovits wrote in The Atlantic last year.",2023-02-17T00:00:08+0000,article,Opinion,Op-Ed,America Should Be in the Middle of a Schools Revolution,Coronavirus (2019-nCoV);Education (K-12);Absenteeism and Truancy;Quarantine (Life and Culture);Private and Sectarian Schools;Polls and Public Opinion;Education;Children and Childhood;Home Schooling;School Discipline (Students);United States;Teachers and School Employees
2,FTD is the most common cause of dementia for people under 60.,"The family of Bruce Willis announced that the actor has frontotemporal dementia, known as FTD, a form of dementia that occurs most commonly when nerve cells in the frontal and temporal lobes of the brain decrease in number. Mr. Willis, 67, was previously diagnosed with aphasia, which prompted him to retire from acting. “FTD is a cruel disease that many of us have never heard of and can strike anyone,” the family wrote in a statement.",2023-02-17T00:42:26+0000,article,Well,News,"Bruce Willis Has Frontotemporal Dementia, His Family Announces","Willis, Bruce;Frontotemporal Dementia;Dementia;Brain;Memory"
3,"“History matters,” President Biden said before showing a movie about Emmett Till, whose murder galvanized the civil rights movement.","WASHINGTON — In 1915, Woodrow Wilson gathered a small crowd in the East Room of the White House to show “The Birth of a Nation,” a film celebrating the Ku Klux Klan.",2023-02-17T00:48:07+0000,article,U.S.,News,From ‘Birth of a Nation’ to ‘Till’: Confronting Racism in the White House Screening Room,"United States Politics and Government;Civil Rights Movement (1954-68);Movies;Presidents and Presidency (US);Biden, Joseph R Jr;Till, Emmett Louis;Bush, George W;Obama, Barack;Trump, Donald J;Till (Movie)"
4,"In a report reviewing the nation’s budget outlook, Congress’s nonpartisan scorekeeper estimated that a veterans health program created last year would swell the federal deficit.","WASHINGTON — A sweeping new entitlement program to provide medical care to millions of veterans who may have been exposed to trash burn pits on U.S. military bases around the world may increase federal spending on veterans by at least $400 billion and as much as $789 billion over a decade, according to the official budgetary scorekeepers in Congress.",2023-02-17T00:52:31+0000,article,U.S.,News,"Burn Pit Program for Veterans Could Cost at Least $400 Billion, Agency Finds",Law and Legislation;Hazardous and Toxic Substances;Federal Budget (US);Veterans;United States Defense and Military Forces;National Debt (US);Waste Materials and Disposal;Health Insurance and Managed Care;Congressional Budget Office;Veterans Affairs Department
5,"In a blend of the old school and the new, Moscow sent balloons over Ukraine before pummeling it with high-tech weaponry.","KYIV, Ukraine — Moscow unleashed a new missile bombardment on cities across Ukraine before dawn on Thursday, killing a 79-year-old woman and once again targeting critical infrastructure.",2023-02-17T00:56:32+0000,article,World,News,New Russian Missile Barrage Hits Ukraine,Russian Invasion of Ukraine (2022);Ukraine;Russia;Civilian Casualties;Defense and Military Forces;Missiles and Missile Defense Systems;United States International Relations
6,"A professor recalls: “It looked like a robot, not someone human, covered with a mask and a cap.”","EAST LANSING, Mich. — Prof. Marco Díaz-Muñoz was standing at the front of Room 114 on the first floor of Berkey Hall on the Michigan State University campus on Monday evening, flipping through PowerPoint slides before a roomful of several dozen undergraduates.",2023-02-17T01:27:55+0000,article,U.S.,News,"Three Booms. A Masked, Armed Man. How Horror Unfolded in a Michigan State Classroom.","Michigan State University Shooting (Feb 13, 2023);Colleges and Universities;Michigan State University;McRae, Anthony D (1979-2023);Verner, Alexandria (d 2023);Anderson, Arielle Diamond (d 2023);East Lansing (Mich);Gun Control"
7,A visit to East Palestine from the head of the E.P.A. and a White House pledge to lend more support were met with skepticism in the community.,"EAST PALESTINE, Ohio — ​​The head of the Environmental Protection Agency traveled to this small community on Thursday with promises of aid but faced skepticism from residents outraged over what they saw as a delayed response to the toxic spill unleashed by the recent train derailment.",2023-02-17T01:35:45+0000,article,U.S.,News,"Federal Officials Send Help After Ohio Derailment, but Residents’ Frustrations Persist","East Palestine, Ohio, Train Derailment (Feb 3, 2023);Railroad Accidents and Safety;Hazardous and Toxic Substances;Chemicals;East Palestine (Ohio);Water Pollution;Air Pollution;Environmental Protection Agency;Federal Emergency Management Agency;Norfolk Southern Corporation"
8,"The N.F.L. is done (for now), but we're about to enter one of the busiest times of the year.","The N.F.L. is done (for now), but we're about to enter one of the busiest times of the year.",2023-02-17T01:50:26+0000,multimedia,Sports,Interactive Feature,The Sports Calendar Is Heating Up,"Golf;Football;Basketball;ALL STAR GAMES;NCAA Basketball Championships (Women);NCAA Basketball Championships (Men);Basketball (College);National Football League;National Basketball Assn;Women's National Basketball Assn;National Collegiate Athletic Assn;Boston, Aliyah (2001- )"
9,Anna Ziegler’s play about an Orthodox couple in the 1970s and an unorthodox one in the 2010s explores the limits of longing.,"There’s no shortage of stories that explore the merits and pitfalls of arranged marriages. In the Jewish subcategory alone, we have “Shtisel,” “Unorthodox” and the perennial “Fiddler on the Roof.” But Anna Ziegler’s awkwardly hitched play “The Wanderers,” which opened Thursday at the Laura Pels Theater, may be the first to consider the problem of forced matches while also exemplifying it.",2023-02-17T02:30:07+0000,article,Theater,Review,"Review: In ‘The Wanderers,’ Two Marriages and a Movie Star","Theater;Theater (Off Broadway);The Wanderers (Play);Ziegler, Anna;Holmes, Katie;Thomas, Eddie Kaye;Cooper, Sarah (1984- );Edelstein, Barry;Roundabout Theater Co;Pels, Laura, Theater"
