,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,President Biden’s weeklong vacation to Lake Tahoe has been punctuated by crises at home and abroad.,"On Thursday, from a sprawling mansion on Lake Tahoe, President Biden spoke with President Volodymyr Zelensky of Ukraine, commemorating the country’s Independence Day and discussing the commencement of training its military fighter pilots.",2023-08-25T00:07:54+0000,article,U.S.,News,Spin. Pilates. Prigozhin? Presidential Business Follows Biden on Vacation.,"Biden, Joseph R Jr;United States Politics and Government;Presidents and Presidency (US);Lake Tahoe (Nev);Disasters and Emergencies;Global Warming"
1,"The filly, perhaps the greatest female thoroughbred in history, died after a 1975 race at Belmont Park in which she injured her ankle.","The remains of Ruffian, the Hall of Fame racehorse whose triumphant run in the 1970s was tragically cut short by an injury in a notorious race that led to her being euthanized, were reburied on Thursday in Kentucky, the filly’s birthplace.",2023-08-25T00:11:25+0000,article,U.S.,News,"Ruffian, Ill-Fated Hall of Fame Race Horse, Is Reburied in Kentucky",Horse Racing;Horses;Cemeteries;Sports Injuries;New York Racing Assn;Belmont Park;Claiborne Farm;Elmont (NY);Paris (Ky)
2,"The next step is the arraignment, which the Fulton County district attorney has asked the court to hold the week of Sept. 5.","The booking of former President Donald J. Trump at the Fulton County Jail on Wednesday is only the start of a long legal battle, made more complex by the case’s large number of other defendants.",2023-08-25T00:41:38+0000,article,U.S.,News,The booking of Trump is only the start of a long legal process.,"Trump, Donald J;Presidential Election of 2020;Willis, Fani T;Presidential Election of 2024;Atlanta (Ga);Mug Shots"
3,"Prosecutors said that Kevin Patrick Smith left about 60 voice mail messages for Senator Jon Tester of Montana that included death threats, even after being warned by F.B.I. agents.","A Montana man was sentenced on Thursday to two and a half years in prison after threatening to kill U.S. Senator Jon Tester in dozens of calls to the Democrat’s local office, federal officials said.",2023-08-25T00:57:42+0000,article,U.S.,News,Man Who Threatened to Kill Montana Senator Gets More Than 2 Years In Prison,"Threats and Threatening Messages;United States Politics and Government;Politics and Government;Prisons and Prisoners;Courts and the Judiciary;Law and Legislation;Federal Bureau of Investigation;Tester, Jon;Missoula (Mont);Kalispell (Mont)"
4,"The former president spent about 20 minutes at the Fulton County Jail, submitting to some of the routines of criminal defendant intake. He was fingerprinted and had his photo taken.","The case is the fourth time criminal charges have been brought against former President Donald J. Trump this year, but Thursday was the first time that he was booked at a jail and had his mug shot taken.",2023-08-25T01:06:25+0000,article,U.S.,News,"Trump’s mug shot is released, a first in his four criminal cases this year.",
5,"The president has faced criticism that his “no comment,” in apparent response to a query on the mounting death toll of the wildfires, was callous.","Eleven days after President Biden drew criticism for appearing to brush off a query about the deadly wildfires in Hawaii with a “no comment,” a White House spokeswoman said on Thursday that the president never heard the question.",2023-08-25T01:39:37+0000,article,U.S.,News,"Biden Didn’t Hear Question on Maui He Appeared to Brush Off, White House Says","Biden, Joseph R Jr;Deaths (Fatalities);Wildfires;Lahaina (Hawaii);United States Politics and Government"
6,"Absent for more than two years, former President Donald J. Trump posted his mug shot on the site, now called X.","Former President Donald J. Trump returned to X, the social media platform formerly known as Twitter, on Thursday night after a hiatus of more than two years.",2023-08-25T01:48:23+0000,article,Technology,News,Trump Returns to the Service Formerly Known as Twitter,"Trump, Donald J;Mug Shots;Twitter;Social Media;Computers and the Internet;Truth Social (Social Network);Musk, Elon"
7,"Mr. Trump spent about 20 minutes at the jail, getting fingerprinted and having his mug shot taken for the first time in the four criminal cases he has faced this year.",Former President Donald J. Trump surrendered at the Fulton County jail in Atlanta on Thursday and was booked on 13 felony charges for his efforts to reverse his 2020 election loss in Georgia.,2023-08-25T01:54:52+0000,article,U.S.,News,Trump Surrenders at Atlanta Jail in Georgia Election Interference Case,"Georgia Criminal Case Against Trump (2020 Election);Trump, Donald J;Racketeering and Racketeers;Presidential Election of 2020;Voter Fraud (Election Fraud);Rumors and Misinformation;Willis, Fani T;Fulton County (Ga);Georgia;Mug Shots"
8,Rafael Musa’s seed entry was inspired by an intriguing dating analogy.,Jump to: Tricky Clues,2023-08-25T02:00:09+0000,article,Crosswords & Games,News,Places to Rub Elbows,Crossword Puzzles
9,David Balton and Jane Stewart expand our intelligence with a scintillating puzzle.,"ACROSTIC — This will be one of those puzzles I recommend to anyone who’s curious about acrostics. The passage and the clue set are fascinating and seem perfect for starting a conversation. (It’s also a good solve, doable but full of suspense and little ahas.)",2023-08-25T02:02:01+0000,article,Crosswords & Games,News,Variety: Acrostic,"Balton, David (Crossword Constructor);Stewart, Jane (Crossword Constructor);Intelligence and Intelligence Tests (IQ);Acrostic Puzzles;Gould, Stephen Jay"
