,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,"Gov. Ron DeSantis of Florida made a campaign stop in the border city of Eagle Pass, Texas.","Gov. Ron DeSantis of Florida made a campaign stop in the border city of Eagle Pass, Texas.",2023-06-27T00:29:00+0000,multimedia,U.S.,Video,DeSantis Details Hard-Right Immigration Proposals,"United States Politics and Government;DeSantis, Ron;Texas;Florida;Immigration and Emigration;Presidential Election of 2024;Illegal Immigration;Republican Party"
1,"Susan Louise Lorincz was accused of killing Ajike Owens, a neighbor, after a dispute with her children in a case that spurred outrage in Florida and across the country.","A Florida woman accused of fatally shooting a neighbor after a dispute with her children this month will not face murder charges, a prosecutor said Monday in a carefully worded statement explaining his reasoning in the divisive case.",2023-06-27T00:34:23+0000,article,U.S.,News,"Florida Woman Charged With Manslaughter, Not Murder, in Fatal Shooting","Murders, Attempted Murders and Homicides;Self-Defense;Florida;Lorincz, Susan Louise"
2,"Is it a stand-up act or a morality play? Either way, Alex Edelman’s look at race, religion and the limits of empathy is at home on Broadway.","It may be too much to ask a human hummingbird like Alex Edelman to try to stick to the subject. In “Just for Us,” his three-jokes-per-minute one-man show, he zooms from punchline to punchline almost as fast as he caroms around the stage of the Hudson Theater. (At 34, he’s part of what he calls the overmedicated ADHD generation.) If you haven’t read about his act coming to Broadway, you might assume from his introduction — in which he describes his usual style as “benign silliness” and says this “isn’t Ibsen” — that you are in for a cheerful evening of laughs.",2023-06-27T01:00:10+0000,article,Theater,Review,Review: A Jew and 16 ‘Nerf Nazis’ Meet Cute in ‘Just for Us’,"Theater;Theater (Broadway);Just for Us (Play);Hudson Theater (Manhattan, NY);Edelman, Alex (Comedian);Brace, Adam"
3,The five-page agreement provoked a furor but included only a handful of binding provisions.,The PGA Tour’s tentative deal with Saudi Arabia’s sovereign wealth fund to form an alliance with the rival LIV Golf series includes only a handful of binding commitments — such as a nondisparagement agreement and a pledge to dismiss acrimonious litigation — and leaves many of the most consequential details about the future of men’s professional golf to be negotiated by the end of the year.,2023-06-27T01:25:45+0000,article,Sports,News,PGA Tour’s Pact With Saudi Wealth Fund Shows Many Details Left to Settle,"Golf;Mergers, Acquisitions and Divestitures;PGA Tour Inc;LIV Golf;DP World Tour;Monahan, Jay W (1970- );Rumayyan, Yasir al-;Saudi Arabia;Public Investment Fund (Saudi Arabia)"
4,Anthony Gisonda’s puzzle shows some growth.,Jump to: Today’s Theme | Tricky Clues,2023-06-27T02:00:10+0000,article,Crosswords & Games,News,Betray a Secret,Crossword Puzzles
5,"Quotation of the Day for Monday, June 26, 2023.",“The necessity for a durable solution is growing greater by the day. Patients are left hanging.”,2023-06-27T02:03:23+0000,article,Corrections,News,"Quotation of the Day: For Lack of $15 and $23 Cancer Drugs, Lives Are at Risk",
6,A recording of a meeting in 2021 in which the former president described a sensitive document in front of him appears to contradict his recent assertion that the material was just news clippings.,An audio recording of former President Donald J. Trump in 2021 discussing what he called a “highly confidential” document about Iran that he acknowledged he could not declassify because he was out of office appears to contradict his recent assertion that the material he was referring to was simply news clippings.,2023-06-27T02:04:40+0000,article,U.S.,News,Audio Undercuts Trump’s Assertion He Did Not Have Classified Document,"Federal Criminal Case Against Trump (Documents Case);Classified Information and State Secrets;United States Politics and Government;Audio Recordings, Downloads and Streaming;Trump, Donald J;Defense Department;Milley, Mark A"
7,"A suspect, Christopher Ferguson, 41, of Newton, Mass., was arrested on Monday, more than a day after the couple and a relative were found stabbed to death at their home.","A couple celebrating their 50th anniversary were expected at Sunday Mass to renew their vows. Their family and friends waited, but the guests of honor never arrived. Instead, they and another family member were found slain in their home that morning in the suburban city of Newton, Mass., in what the authorities described as a seemingly random attack.",2023-06-27T03:04:35+0000,article,U.S.,News,Couple Are Killed Just Before Celebrating 50th Wedding Anniversary,"Murders, Attempted Murders and Homicides;Robberies and Thefts;Newton (Mass);D'Amore, Gilda (d 2023);D'Amore, Bruno (d 2023);Ferguson, Christopher (1982- )"
8,"A day after allowing the most runs in College World Series history, the Tigers found more than enough offense of their own to claim their seventh championship.","After Florida forced a winner-take-all Game 3 in the baseball College World Series championship series by scoring the most runs in tournament history on Sunday, the Gators took a 2-0 lead over Louisiana State in the first inning on Monday and seemed poised to capture the title.",2023-06-27T03:13:42+0000,article,Sports,News,"L.S.U. Crushes Florida, 18-4, to Win Baseball National Title",College World Series;Baseball;Louisiana State University;University of Florida
9,"The prince has sued a British media company, Mirror Group Newspapers, claiming that reporters hacked his phone more than a decade ago.","Prince Harry’s lawyers began their closing statements on Tuesday in a lawsuit against the British media company Mirror Group Newspapers, which he has accused of hacking his cellphone more than a decade ago.",2023-06-27T04:00:09+0000,article,World,News,Prince Harry’s Lawyers Make Closing Remarks: What to Know About the Court Case,"Royal Families;News and News Media;Newspapers;Suits and Litigation (Civil);Wiretapping and Other Eavesdropping Devices and Methods;Mirror Group Newspapers PLC;Harry, Duke of Sussex;Great Britain"
