,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,"Peter Cichuniec and Jeremy Cooper were convicted of criminally negligent homicide, but the jury split on the assault charges, in an unusual prosecution of medical personnel.","Two Colorado paramedics were convicted of criminally negligent homicide in the 2019 death of Elijah McClain, a young unarmed Black man whose case drew national attention and forced public safety reforms in the city where he lived and died.",2023-12-23T01:08:46+0000,article,U.S.,News,Paramedics Found Guilty in Last Trial in Elijah McClain Death,"McClain, Elijah (d 2019);Emergency Medical Treatment;Colorado;Aurora (Colo);Police Brutality, Misconduct and Shootings;Cichuniec, Peter;Cooper, Jeremy (Aurora, Colo, Paramedic);Black Lives Matter Movement;Ketamine (Drug);Decisions and Verdicts;Murders, Attempted Murders and Homicides"
1,"After a week of heated negotiations, the U.N. Security Council approved a measure that called on Israel and Hamas to pause the fighting to allow for the delivery of more humanitarian aid.","The United Nations Security Council on Friday adopted a resolution that would allow more aid to reach desperate civilians in the Gaza Strip, ending nearly a week of intense diplomatic wrangling intended to prevent the United States from blocking the measure. But the resolution stopped short of past attempts to impose a cease-fire.",2023-12-23T01:51:11+0000,article,World,News,U.N. Passes Resolution on Gaza Aid but Does Not Call for ‘Suspension of Hostilities’,Israel-Gaza War (2023- );Israel;Defense and Military Forces;Humanitarian Aid;Gaza Strip;Palestinians;Civilian Casualties;Hamas;Terrorism;Kidnapping and Hostages;Peace Process;Security Council (UN);International Relations;United States International Relations
2,"Will Nediger glides in with a slippery, imposing themeless puzzle.","SATURDAY PUZZLE — Take the diagonal steps of entries we have solved in recent puzzles, add triple stacks of blistering originality to the top and bottom and you’ve got this daunting challenge from Will Nediger, a veteran weekend constructor who can be counted on for just this type of thing.",2023-12-23T03:00:09+0000,article,Crosswords & Games,News,Not What You’d Expect,"Crossword Puzzles;Nediger, Will (Crossword Constructor)"
3,"For couples looking to recreate a Hallmark Christmas movie setting, the Historic Hotel Bethlehem has become a popular destination for holiday nuptials.","In December, most wedding venues experience a slowdown. But at Historic Hotel Bethlehem, wedding season is in full swing.",2023-12-23T05:00:32+0000,article,Style,News,"In the ‘Christmas City,’ Yuletide Weddings Are the Main Event",Weddings and Engagements;Christmas;Christmas Trees;Historic Buildings and Sites;Hotels and Travel Lodgings
4,Record numbers of legal immigrants came to Britain from outside the E.U. in recent years. Some on the right call that a “Brexit betrayal.”,"Inflammatory warnings from politicians. Knife-edge votes in Parliament. A looming election against a backdrop of national crisis. Britain’s ruling Conservative Party has been caught up in a clamorous debate over deporting asylum seekers to Rwanda, which has at times sounded like a not-so-distant echo of Brexit.",2023-12-23T05:01:13+0000,article,World,News,Brexiteers Vowed to ‘Take Back Control’ of U.K. Borders. What Happened?,"Great Britain Withdrawal from EU (Brexit);Politics and Government;Illegal Immigration;Asylum, Right of;Immigration and Emigration;Refugees and Displaced Persons"
5,The case was initially seen as an illustration of the city’s crime and homelessness woes. Further evidence challenged that narrative.,"A homeless man who beat a former San Francisco city official with a metal pipe was found not guilty of assault charges on Friday, capping a case that had drawn national attention as a symbol of the city’s crime and homelessness problems until a public defender unearthed a surprising back story.",2023-12-23T05:48:00+0000,article,U.S.,News,Jurors Find San Francisco Homeless Man Not Guilty in Pipe Beating,Homeless Persons;Assaults;Self-Defense;San Francisco (Calif)
6,"Quotation of the Day for Saturday, December 23, 2023.",“What is it that’s happening specifically in the dark?”,2023-12-23T05:54:15+0000,article,Corrections,News,"Quotation of the Day: On U.S. Roads, Dark Is Deadly. That’s a Puzzle.",
7,"Corrections that appeared in print on Saturday, Dec. 23, 2023.","A photo caption with an article on Friday about Claudine Gay’s tenure as Harvard president misstated the organization that hosted the event at which Dr. Gay spoke. She spoke at a Sabbath dinner hosted by Harvard Chabad, not Harvard Hillel (though she also appeared at another event hosted by Harvard Hillel).",2023-12-23T05:57:10+0000,article,Corrections,Correction,"Corrections: Dec. 23, 2023",
8,In case you need some puzzle help.,"Welcome to The Wordle Review. Be warned: This page contains spoilers for today’s puzzle. Solve Wordle first, or scroll at your own risk.",2023-12-23T08:00:02+0000,article,Crosswords & Games,News,Today’s Wordle Review,Wordle (Puzzle)
9,Feeling stuck on today’s puzzle? We can help.,"Hi busy bees! Welcome to today’s Spelling Bee forum. There are a number of terms that appear in both this article and other online discussions of the Spelling Bee; a glossary of those terms compiled by Monicat, a Times reader, can be found below.",2023-12-23T08:00:08+0000,article,Crosswords & Games,News,Spelling Bee Forum,Spelling Bee (Game)
10,In case you need some puzzle help.,"Good morning, dear connectors. Welcome to today’s Connections forum, where you can give and receive puzzle — and emotional — support.",2023-12-23T08:00:23+0000,article,Crosswords & Games,News,The Connections Companion,Crossword Puzzles;Connections (Game)
11,"Urie, who is known for his work on “Ugly Betty,” is busy these days — on Broadway, on TV and, on Sundays, with his dog, President McKinley.",Michael Urie is a compulsive performing chameleon.,2023-12-23T08:00:24+0000,article,New York,News,How Michael Urie Spends His Sundays,"Theater;Actors and Actresses;Television;Monty Python;Urie, Michael;Spahn, Ryan;Spamalot (Play)"
12,"Knitting scarves, sweaters and other presents can take a lot of time, money and energy. But there can also be a deeper cost: hurt feelings.","Cydney Alvarez, a fabric developer in Brooklyn, was packing to visit her family in Dallas for Christmas last year when she realized she had knitted her stepmother two left-handed mittens. She rushed to replace one: “I was frantically trying to finish it on the flight,” she said.",2023-12-23T08:00:24+0000,article,New York,News,The Emotional Gamble of a Hand-Knitted Gift,Knitting and Knit Goods;Handicrafts;Gifts;Wool and Woolen Goods
13,"Domestic shootings are a small portion of the city’s violence, but victims’ advocates say the new spike is worrisome.","Chicago is expected to end 2023 with a double-digit decline in both shootings and homicides, a sign that the pandemic-era rise in gun violence is beginning to recede. But citywide data shows that a small subset of Chicago’s shootings — those involving domestic violence — have accelerated this year, a spike that is prompting new alarm among advocates for victims.",2023-12-23T10:00:47+0000,article,U.S.,News,Shootings Dip in Chicago but Grow in Domestic Violence Cases,"Murders, Attempted Murders and Homicides;Domestic Violence;Firearms;Chicago (Ill)"
14,Four new books look to fauna to get us through tough times.,"In a recent essay, the writer and environmental activist Terry Tempest Williams, reflecting on the perils of climate change, wrote, “Before we can save this world we are losing, we must first learn how to savor what remains.” To savor something is to know you will lose it, and to cherish it all the more for that knowledge.",2023-12-23T10:00:51+0000,article,Books,News,Animal Magnetism — and Optimism,"Books and Literature;Animals;The Comfort of Crows: A Backyard Year (Book);Renkl, Margaret (1961- );Alfie and Me: What Owls Know, What Humans Believe (Book);Safina, Carl;Of Time and Turtles: Mending the World, Shell by Shattered Shell (Book);Montgomery, Sy (1958- );Eat, Poop, Die: How Animals Make Our World (Book);Roman, Joe (1963- )"
