,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
16,"Many state laws take effect on the first day of 2024, including new rules on gun safety, a ban on diversity programs and a curb on telemarketing calls.","A spate of new state laws, including on guns, minimum wage and gender transition care, went into effect as the calendar flipped to 2024. Perhaps the most significant change bans programs that promote diversity, equity and inclusion at publicly funded colleges and universities in Texas.",2024-01-01T08:00:30+0000,article,U.S.,News,New State Laws on Hot-Button Issues Take Effect Today,States (US);State Legislatures;Law and Legislation;Gun Control;Minimum Wage;Labor and Jobs;Roads and Traffic;Consumer Protection;Transgender;Abortion;Wages and Salaries;Marijuana;Unemployment;Pregnancy and Childbirth;Prisons and Prisoners;Mental Health and Disorders;Book Bans;Education;Online Dating;United States
17,The city has long been known as a pizza town. Now other places seem to be trying to cash in on the hype.,"For generations, New Haven has been a pizza town.",2024-01-01T08:00:34+0000,article,New York,News,Can New Haven’s Legendary Pizza Joints Play on the National Stage?,Pizza;Family Business;New Haven (Conn)
18,"The slowdown in the residential real estate market, a crucial cog in the American economy, is threatening sectors like home improvement and storage.","John Matheson, a home inspector in Alameda, Calif., kept busy during the pandemic when the housing market was red hot. But as interest rates started to rise about halfway through 2022, he noticed that his workload began to drop. Last year, the number of jobs plummeted.",2024-01-01T10:00:40+0000,article,Business Day,News,Chill in the Housing Market Seeps Into Other Industries,Real Estate and Housing (Residential);Interest Rates;Real Estate Brokers;Storage;Home Repairs and Improvements;Shopping and Retail;Real Estate (Commercial);United States Economy
19,"Catch a mountain trout on a frozen South Korean river, witness a fiery pelting of devotees in Taiwan or find your cold-weather bliss in a Japanese snow maze.","For many people, the joys of winter center on strapping on skis, snowshoes or skates and getting outdoors. Of course, that is no less true in many parts of Asia. But with climates ranging from the famously snowy Japanese island of Hokkaido to the tropical forests of Malaysia, the continent offers a wide variety of wintertime delights for travelers who are seeking something different from a day on the slopes. Fresh-caught mountain trout sashimi, anyone? Here are five festivals to check out this winter.",2024-01-01T10:00:56+0000,article,Travel,News,Firecrackers and Ice: 5 Must-See Festivals in Asia This Winter,Lunar New Year;Winter (Season);Travel and Vacations;Ice;Festivals;Snow and Snowstorms;Kuala Lumpur (Malaysia);Nara (Japan);Sapporo (Japan);Taiwan;South Korea;Pilgrimages
20,Here are 12 guesses.,"A new year brings new beginnings. For the Styles Desk, it also comes with an old pastime: Predicting the fashion and lifestyle trends that may bubble up in the months ahead.",2024-01-01T10:01:01+0000,article,Style,News,What Will Life Be Like in 2024?,Two Thousand Twenty Four;Fashion and Apparel;Generation Z;Social Media;Bars and Nightclubs;Wearable Computing;Nails (Body Part);Beverages
21,"“Mad Max” gets a prequel, “The Wiz” returns to Broadway and Larry David gets another crack at a series finale.","Early in 1969, the Metropolitan Museum sparked an uproar with an exhibition called “Harlem on My Mind: Cultural Capital of Black America, 1900-1968.” Although conceived as the museum’s first big-ticket acknowledgment of African American creativity, it included no visual art beyond documentary photomurals. Black artists, many working in Harlem just blocks north of the museum, angrily picketed the show, denouncing it as evidence of art world racism writ large.",2024-01-01T10:01:01+0000,article,Arts,News,What Our Critics Are Looking Forward to in 2024,Culture (Arts);Two Thousand Twenty Four;Opera;Theater;Movies;Art
22,"Whether you want to eat less meat, bake more crowd-pleasing desserts or (finally) learn how to cook, here are some first steps for the new year.","If abiding by resolutions were as easy as setting them, perfection would be attainable and the self-improvement section of the bookstore would be cobweb city. Still, self-reflection can be a rewarding exercise at the beginning of a new year. What better place to start than in the kitchen, where you have to spend at least a little bit of time each day?",2024-01-01T10:01:01+0000,article,Food,News,Making a Cooking Resolution? These 9 Recipes Will Get You Started.,Recipes;New Year;Cooking and Cookbooks;Content Type: Service;Vegetarianism
23,She’s 18. He’s 23. He sent her a one-sentence letter through his prison’s electronic mail system: “Will you marry me?” They wed in a small room in a Moscow jail.,"Nadezhda Shtovba did not wear a white dress to her wedding. There were no bridesmaids or groomsmen. She and her husband, Yegor, did not exchange wedding bands either — rings are banned in Butyrka prison.",2024-01-01T10:01:10+0000,article,World,News,Young Love Meets Russian Repression. They Said ‘I Do’ in a Moscow Prison,Weddings and Engagements;Prisons and Prisoners;Human Rights and Human Rights Violations;Freedom of Speech and Expression;Political Prisoners;Russian Invasion of Ukraine (2022)
24,"A Tudor Revival cottage in Carmel, an equestrian compound in the San Fernando Valley once owned by Patrick Swayze and a waterfront house in Huntington Beach.","This home, which received a Carmel Heritage Award in 2004, was built to resemble the older storybook cottages for which the city is known. It is a few blocks from Carmel Plaza, an outdoor dining and shopping hub, and within walking distance of a number of restaurants.",2024-01-01T10:01:36+0000,article,Real Estate,News,$4.5 Million Homes in California,Real Estate and Housing (Residential);Carmel (Calif);Huntington Beach (Calif);San Fernando Valley (Calif)
25,"When you talk to students about social media radicalization, racism and bullying, you learn how desperate they are for some guidance.","The sixth-grade boy who raised his hand was wiry and small. “People at my school make racist jokes,” he said, when I called on him. His voice had yet to change. “How do I get them to stop?”",2024-01-01T10:01:38+0000,article,U.S.,News,How Do You Respond to a Young Person Upset by Racist Jokes at School?,internal-sub-only;internal-great-read;Social Media;Cyberharassment;Discrimination;Race and Ethnicity;Bullies;Education (K-12);Children and Childhood;Teenagers and Adolescence
